Species,decimalLongitude,decimalLatitude
Terminalia catappa,-40.278441,-20.272233
Terminalia catappa,-35.170688,-5.885537
Terminalia catappa,-44.307171,-2.554042
Terminalia catappa,-35.194948,-5.756438
Terminalia catappa,-46.46311,-23.946875
Terminalia catappa,-40.34097,-20.43122
Terminalia catappa,-43.198136,-22.9407
Terminalia catappa,-38.969832,-12.206247
Terminalia catappa,-38.621554,-3.808935
Terminalia catappa,-38.621606,-3.809419
Terminalia catappa,-50.018565,-29.770201
Terminalia catappa,-50.018543,-29.770166
Terminalia catappa,-40.676225,-19.805647
Terminalia catappa,-35.761252,-9.62151
Terminalia catappa,-48.422828,-27.57528
Terminalia catappa,-47.297678,-5.445916
Terminalia catappa,-44.068413,-19.93511
Terminalia catappa,-38.407668,-12.964939
Terminalia catappa,-35.177778000000004,-5.872222
Terminalia catappa,-47.909386,-16.251797
Terminalia catappa,-49.731525,-29.342876
Terminalia catappa,-48.502986,-27.711796
Terminalia catappa,-48.672638,-28.237692
Terminalia catappa,-45.374592,-23.818712
Terminalia catappa,-44.689257,-23.155393
Terminalia catappa,-45.329247,-23.584872
Terminalia catappa,-48.404137,-27.417572
Terminalia catappa,-46.726131,-23.495328
Terminalia catappa,-43.283291,-22.604287
Terminalia catappa,-47.490219,-4.963873
Terminalia catappa,-43.237362,-22.841546
Terminalia catappa,-48.854774,-27.087532
Terminalia catappa,-49.317675,-16.778441
Terminalia catappa,-47.070854,-22.804882
Terminalia catappa,-39.084633,-16.543176
Terminalia catappa,-46.721842,-23.562417
Terminalia catappa,-40.207596,-14.365143
Terminalia catappa,-47.5489,-4.281649
Terminalia catappa,-47.630459,-22.708616
Terminalia catappa,-39.414444,-17.140555
Terminalia catappa,-48.652018,-26.916678
Terminalia catappa,-34.917519,-8.181103
Terminalia catappa,-39.041204,-16.397335000000002
Terminalia catappa,-40.352506,-20.455239
Terminalia catappa,-43.230667,-22.881438
Terminalia catappa,-43.002819,-22.788538
Terminalia catappa,-48.635082,-26.974783
Terminalia catappa,-37.084087,-10.950006
Terminalia catappa,-47.138795,-22.955573
Terminalia catappa,-41.954845,-22.786655
Terminalia catappa,-47.875165,-15.807186
Terminalia catappa,-40.723682,-20.840882
Terminalia catappa,-38.48471,-3.749475
Terminalia catappa,-46.740315,-23.599381
Terminalia catappa,-42.966021,-22.934281
Terminalia catappa,-35.222778,-7.747222
Terminalia catappa,-47.822097,-15.641729
Terminalia catappa,-47.044826,-22.917112
Terminalia catappa,-35.50507,-9.424454
Terminalia catappa,-45.049623,-20.043243
Terminalia catappa,-52.666613,-18.393212
Terminalia catappa,-43.918572,-19.96163
Terminalia catappa,-42.468325,-22.893508
Terminalia catappa,-34.899062,-7.178301
Terminalia catappa,-35.087375,-8.737745
Terminalia catappa,-40.27912,-20.272878
Terminalia catappa,-41.043889,-6.886111
Terminalia catappa,-41.776389,-22.377442
Terminalia catappa,-48.612165,-27.094531
Terminalia catappa,-40.301667,-20.279444
Terminalia catappa,-36.585556,-10.286667
Terminalia catappa,-39.424944000000004,-7.238917
Terminalia catappa,-40.301667,-20.279444
Terminalia catappa,-48.799082,-26.408039
Terminalia catappa,-45.371053,-23.816495
Terminalia catappa,-44.237059,-23.091197
Terminalia catappa,-42.858889,-6.248055
Terminalia catappa,-46.691212,-23.529734
Terminalia catappa,-51.954033,-22.576983
Terminalia catappa,-46.785803,-24.168864
Terminalia catappa,-37.053378,-10.952877
Terminalia catappa,-46.656637,-23.549508
Terminalia catappa,-36.48,-6.66
Terminalia catappa,-48.700415,-28.248345
Terminalia catappa,-46.339517,-23.968583
Terminalia catappa,-38.98868,-14.275703
Terminalia catappa,-40.40848,-2.81408
Terminalia catappa,-42.621472,-22.9334
Terminalia catappa,-60.668636,2.81365
Terminalia catappa,-49.191847,-25.466753
Terminalia catappa,-51.175,-23.309167
Terminalia catappa,-47.846389,-21.171667
Terminalia catappa,-47.042408,-22.89426
Terminalia catappa,-47.916983,-15.837152
Terminalia catappa,-40.260195,-20.200055
Terminalia catappa,-49.230045,-26.894073
Terminalia catappa,-48.639619,-26.87664
Terminalia catappa,-44.711903,-23.220442
Terminalia catappa,-42.664499,-11.403856
Terminalia catappa,-38.575131,-3.745097
Terminalia catappa,-48.051238,-23.598953
Terminalia catappa,-36.940545,-10.593497
Terminalia catappa,-44.289167,-2.551667
Terminalia catappa,-49.92662,-20.419653
Terminalia catappa,-44.369444,-22.941389
Terminalia catappa,-49.576591,-29.157605
Terminalia catappa,-39.061357,-16.430543
Terminalia catappa,-49.475051,-18.993134
Terminalia catappa,-39.711921,-19.191736
Terminalia catappa,-52.704848,-23.481393
Terminalia catappa,-46.735833,-24.150556
Terminalia catappa,-47.372076,-22.565856
Terminalia catappa,-38.358725,-12.898863
Terminalia catappa,-45.970905,-20.472054
Terminalia catappa,-43.99975,-19.958724
Terminalia catappa,-45.315575,-23.577236
Terminalia catappa,-42.607162,-18.785395
Terminalia catappa,-45.173125,-23.510503
Terminalia catappa,-43.161348,-22.706807
Terminalia catappa,-42.133358,-19.748609
Terminalia catappa,-43.218939,-22.982104
Terminalia catappa,-48.625927,-28.026055
Terminalia catappa,-43.230293,-22.990682
Terminalia catappa,-46.803705,-24.198021
Terminalia catappa,-49.770623,-29.39811
Terminalia catappa,-50.143522,-30.026347
Terminalia catappa,-35.671945,-9.594862
Terminalia catappa,-48.642971,-26.897973
Terminalia catappa,-49.976198,-29.687125
Terminalia catappa,-49.982775,-29.683474
Terminalia catappa,-49.982792,-29.683693
Terminalia catappa,-47.923611,-15.830278
Terminalia catappa,-48.605821,-27.120854
Terminalia catappa,-48.61377,-27.101959
Terminalia catappa,-42.187023,-22.807104
Terminalia catappa,-48.603299,-26.073789
Terminalia catappa,-39.613964,-12.652332
Terminalia catappa,-47.048344,-22.91537
Terminalia catappa,-43.229444,-22.876995
Terminalia catappa,-48.496474,-27.75767
Terminalia catappa,-43.615276,-22.914274
Terminalia catappa,-45.069742,-23.43638
Terminalia catappa,-46.456411,-23.447156
Terminalia catappa,-46.957022,-24.257323
Terminalia catappa,-51.704896,-20.78541
