scientific_name,decimalLongitude,decimalLatitude
Tetragonopterus argenteus,-57.882672,-21.687291
Tetragonopterus argenteus,-67.498397,-8.789337
Tetragonopterus argenteus,-57.019445,-19.577081
Tetragonopterus argenteus,-48.523611,-14.586111
Tetragonopterus argenteus,-55.838137,-16.339977
Tetragonopterus argenteus,-68.636557,-9.054671
Tetragonopterus argenteus,-56.592589,-20.097577
Tetragonopterus argenteus,-52.170462,-6.748787
Tetragonopterus argenteus,-67.49824,-8.788685
Tetragonopterus argenteus,-56.706111,-17.281389
Tetragonopterus argenteus,-56.081389,-19.790833
Tetragonopterus argenteus,-56.081389,-19.790833
Tetragonopterus argenteus,-54.603333,-25.449722
Tetragonopterus argenteus,-55.106581,-17.671397
Tetragonopterus argenteus,-57.05389,-19.31667
Tetragonopterus argenteus,-55.216667,-19.75
Tetragonopterus argenteus,-57.018056,-19.576667
Tetragonopterus argenteus,-56.975,-19.607778
Tetragonopterus argenteus,-54.741755,-18.52568
Tetragonopterus argenteus,-51.286667,-4.662222
Tetragonopterus argenteus,-50.582778,-6.331944
Tetragonopterus argenteus,-50.513611,-6.955
Tetragonopterus argenteus,-57.82222,-21.84556
Tetragonopterus argenteus,-57.018056,-19.576667
Tetragonopterus argenteus,-60.041913,-3.271667
Tetragonopterus argenteus,-60.047117,-3.267663
Tetragonopterus argenteus,-54.37105,-1.60987
Tetragonopterus argenteus,-56.513222,-20.231722
Tetragonopterus argenteus,-54.523744,-16.487756
Tetragonopterus argenteus,-49.931944,-5.2775
Tetragonopterus argenteus,-51.033333,-5.508611
Tetragonopterus argenteus,-70.63355,-4.17896
Tetragonopterus argenteus,-70.28372,-4.28785
Tetragonopterus argenteus,-70.79331,-4.18496
Tetragonopterus argenteus,-70.6654,-4.14219
Tetragonopterus argenteus,-70.27118,-4.29871
Tetragonopterus argenteus,-70.27035,-4.362825
Tetragonopterus argenteus,-70.84589,-4.25267
Tetragonopterus argenteus,-70.26267,-4.39533
Tetragonopterus argenteus,-70.27035,-4.362825
Tetragonopterus argenteus,-70.28612,-4.49141
Tetragonopterus argenteus,-70.8229,-4.21093
