scientific_name,decimalLongitude,decimalLatitude
Tetrapanax papyrifer,-47.576937,-24.034017
Tetrapanax papyrifer,-51.864371,-29.150335
Tetrapanax papyrifer,-43.505886,-20.382556
Tetrapanax papyrifer,-46.513701,-23.743972
Tetrapanax papyrifer,-49.283174,-25.39803
Tetrapanax papyrifer,-49.282886,-25.398096
Tetrapanax papyrifer,-46.729929,-23.583427
Tetrapanax papyrifer,-46.72995,-23.583329
Tetrapanax papyrifer,-53.727731,-29.71907
Tetrapanax papyrifer,-49.591469,-28.552627
Tetrapanax papyrifer,-49.248497,-25.381647
Tetrapanax papyrifer,-49.352624,-25.440655
Tetrapanax papyrifer,-49.064859,-26.916984
Tetrapanax papyrifer,-51.475599,-27.154304
Tetrapanax papyrifer,-49.113118,-26.925928
Tetrapanax papyrifer,-53.713645,-29.181876
Tetrapanax papyrifer,-53.712542,-29.183744
Tetrapanax papyrifer,-50.84971,-29.307349
Tetrapanax papyrifer,-49.407047,-28.679922
Tetrapanax papyrifer,-45.856309,-22.6577
Tetrapanax papyrifer,-46.730537,-23.582841
Tetrapanax papyrifer,-46.754642,-23.572885
Tetrapanax papyrifer,-51.909847,-27.465633
Tetrapanax papyrifer,-49.610833,-28.546667
Tetrapanax papyrifer,-49.302867,-25.415679
Tetrapanax papyrifer,-49.610833,-28.546667
Tetrapanax papyrifer,-51.367074,-29.579699
Tetrapanax papyrifer,-49.610833,-28.546667
Tetrapanax papyrifer,-51.484089,-30.200554
Tetrapanax papyrifer,-50.849534,-29.306982
Tetrapanax papyrifer,-51.135755,-29.24191
Tetrapanax papyrifer,-51.033333,-30.082778
Tetrapanax papyrifer,-55.79734,-29.782458
Tetrapanax papyrifer,-48.525556,-27.602222
Tetrapanax papyrifer,-48.525556,-27.602222
Tetrapanax papyrifer,-49.347222,-26.239444
Tetrapanax papyrifer,-49.485556,-28.497778
Tetrapanax papyrifer,-49.347222,-26.239444
Tetrapanax papyrifer,-49.485555,-28.497778
Tetrapanax papyrifer,-49.485555,-28.497778
Tetrapanax papyrifer,-49.347222,-26.239444
Tetrapanax papyrifer,-49.292734,-25.414251
Tetrapanax papyrifer,-46.717297,-23.5668
Tetrapanax papyrifer,-49.360556,-26.233056
Tetrapanax papyrifer,-49.360556,-26.233056
Tetrapanax papyrifer,-49.137778,-27.359722
Tetrapanax papyrifer,-49.137778,-27.359722
Tetrapanax papyrifer,-49.340893,-26.598274
Tetrapanax papyrifer,-49.332778,-26.614444
Tetrapanax papyrifer,-49.332778,-26.614444
Tetrapanax papyrifer,-50.109453,-29.510844
Tetrapanax papyrifer,-50.109444,-29.510833
Tetrapanax papyrifer,-52.150833,-29.235833
Tetrapanax papyrifer,-49.064167,-27.414167
Tetrapanax papyrifer,-49.064167,-27.414167
Tetrapanax papyrifer,-49.064167,-27.414167
Tetrapanax papyrifer,-48.800833,-27.7025
Tetrapanax papyrifer,-48.800833,-27.7025
Tetrapanax papyrifer,-48.800833,-27.7025
Tetrapanax papyrifer,-48.800833,-27.7025
Tetrapanax papyrifer,-48.800833,-27.7025
Tetrapanax papyrifer,-48.800833,-27.7025
Tetrapanax papyrifer,-49.603889,-28.549444
Tetrapanax papyrifer,-49.603889,-23.549444
Tetrapanax papyrifer,-49.603889,-28.549444
Tetrapanax papyrifer,-49.603889,-28.549444
Tetrapanax papyrifer,-43.915972,-19.891611
Tetrapanax papyrifer,-51.84303,-29.796747
Tetrapanax papyrifer,-46.716667,-23.55
Tetrapanax papyrifer,-46.716667,-23.55
Tetrapanax papyrifer,-46.716667,-23.55
Tetrapanax papyrifer,-46.6361,-23.5475
Tetrapanax papyrifer,-51.237222,-30.019139
Tetrapanax papyrifer,-51.094433,-29.582077
Tetrapanax papyrifer,-51.094433,-29.582077
Tetrapanax papyrifer,-50.7813295,-29.6547279
Tetrapanax papyrifer,-50.7813295,-29.6547279
Tetrapanax papyrifer,-46.6361,-23.5475
Tetrapanax papyrifer,-46.6361,-23.5475
