scientific_name,decimalLongitude,decimalLatitude
Thespesia populnea,-41.980501,-22.814284
Thespesia populnea,-34.919062,-8.116219
Thespesia populnea,-42.035053,-22.867868
Thespesia populnea,-35.552567,-9.472712
Thespesia populnea,-35.222778,-7.747222
Thespesia populnea,-35.090254,-8.728357
Thespesia populnea,-43.2325,-22.846667
Thespesia populnea,-35.576733,-8.203317
Thespesia populnea,-34.902925,-8.045338
Thespesia populnea,-43.224733,-22.854333
Thespesia populnea,-37.334639,-5.196912
Thespesia populnea,-42.007263,-22.87697
Thespesia populnea,-35.079569,-8.703369
Thespesia populnea,-35.221763,-5.762172
Thespesia populnea,-34.915025,-8.094411
Thespesia populnea,-39.064238,-16.448359
Thespesia populnea,-41.973421,-22.826287
Thespesia populnea,-34.845,-7.849444
Thespesia populnea,-37.048056,-10.869444
Thespesia populnea,-37.272222,-5.491944
Thespesia populnea,-47.065751,-22.9056
Thespesia populnea,-38.966186,-4.248308
Thespesia populnea,-35.809258,-9.473611
Thespesia populnea,-35.888242,-9.383333
Thespesia populnea,-34.863056,-7.115
Thespesia populnea,-34.863056,-7.115
Thespesia populnea,-37.344167,-5.1875
Thespesia populnea,-35.701853,-9.240278
Thespesia populnea,-39.1,-12.666667
Thespesia populnea,-37.344167,-5.191944
Thespesia populnea,-47.077171,-22.870251
Thespesia populnea,-35.881111,-7.230833
Thespesia populnea,-37.0253,-10.521
