scientific_name,decimalLongitude,decimalLatitude
Thunbergia alata,-48.711792,-26.543695
Thunbergia alata,-52.682885,-18.386354
Thunbergia alata,-48.621626,-28.028071
Thunbergia alata,-43.573611,-20.390833
Thunbergia alata,-43.579444,-20.396111
Thunbergia alata,-48.61197,-26.052932
Thunbergia alata,-51.177954,-30.026294
Thunbergia alata,-47.879741,-22.006597
Thunbergia alata,-42.716164,-21.402861
Thunbergia alata,-47.791816,-15.862371
Thunbergia alata,-45.426417,-22.445875
Thunbergia alata,-40.705889,-20.413126
Thunbergia alata,-48.43,-22.838889000000002
Thunbergia alata,-52.280222,-24.590083
Thunbergia alata,-43.412917,-21.832695
Thunbergia alata,-35.856136,-7.168165
Thunbergia alata,-42.772459,-22.453897
Thunbergia alata,-47.808749,-15.799146
Thunbergia alata,-34.947628,-8.019511
Thunbergia alata,-49.760084,-29.371984
Thunbergia alata,-43.856687,-19.98124
Thunbergia alata,-40.599963,-19.93692
Thunbergia alata,-49.244676,-25.393338
Thunbergia alata,-49.246334,-25.392791
Thunbergia alata,-40.612675,-19.938744
Thunbergia alata,-43.312588,-22.558601
Thunbergia alata,-46.730563,-23.565037
Thunbergia alata,-40.557853,-19.952937
Thunbergia alata,-49.533712,-25.458321
Thunbergia alata,-43.292442,-22.957492
Thunbergia alata,-47.961302,-15.890315
Thunbergia alata,-46.964493,-23.622409
Thunbergia alata,-48.634838,-26.92433
Thunbergia alata,-42.738578,-22.420322
Thunbergia alata,-46.572035,-23.65671
Thunbergia alata,-46.379039,-23.783214
Thunbergia alata,-48.522195,-27.599575
Thunbergia alata,-38.935392,-4.262745
Thunbergia alata,-47.207031,-22.749356
Thunbergia alata,-47.414927,-22.464762
Thunbergia alata,-44.52885,-22.435539
Thunbergia alata,-44.581241,-22.463312
Thunbergia alata,-53.688095,-29.639131
Thunbergia alata,-47.694458,-15.802031
Thunbergia alata,-47.542942,-22.408055
Thunbergia alata,-44.779497,-23.187069
Thunbergia alata,-46.752836,-23.558213
Thunbergia alata,-43.159992,-22.434397
Thunbergia alata,-43.161612,-22.436494
Thunbergia alata,-49.289458,-26.811647
Thunbergia alata,-49.297014,-26.8091
Thunbergia alata,-49.229253,-26.854063
Thunbergia alata,-49.244438,-25.464806
Thunbergia alata,-38.955528,-4.252388
Thunbergia alata,-46.731145,-23.56626
Thunbergia alata,-49.243978,-25.44333
Thunbergia alata,-35.094333,-7.800221
Thunbergia alata,-49.278921,-26.794102
