scientific_name,decimalLongitude,decimalLatitude
Thunbergia grandiflora,-38.969268,-6.753874
Thunbergia grandiflora,-47.874886,-21.984346
Thunbergia grandiflora,-48.646299,-28.126830000000002
Thunbergia grandiflora,-43.934851,-19.924293
Thunbergia grandiflora,-56.732644,-20.725567
Thunbergia grandiflora,-43.546183,-23.02225
Thunbergia grandiflora,-47.916847,-15.813517
Thunbergia grandiflora,-46.354958,-23.200093
Thunbergia grandiflora,-56.067471,-15.581111
Thunbergia grandiflora,-46.730186,-23.566197
Thunbergia grandiflora,-43.417069,-22.590644
Thunbergia grandiflora,-47.637796,-22.716714
Thunbergia grandiflora,-51.107043,-30.006114
Thunbergia grandiflora,-47.293858,-23.262501
Thunbergia grandiflora,-35.713557,-6.966818
Thunbergia grandiflora,-46.687889,-23.555483
Thunbergia grandiflora,-41.024158,-20.397675
Thunbergia grandiflora,-49.269351,-16.706894
Thunbergia grandiflora,-46.87286,-23.485906
Thunbergia grandiflora,-47.038403,-23.260632
Thunbergia grandiflora,-55.632017,-20.470604
Thunbergia grandiflora,-50.112272,-21.078111
Thunbergia grandiflora,-44.516861,-22.453752
Thunbergia grandiflora,-48.080737,-15.881456
Thunbergia grandiflora,-46.923122,-22.839578
Thunbergia grandiflora,-46.550672,-23.664554
Thunbergia grandiflora,-43.326572,-22.9779
Thunbergia grandiflora,-54.444922,-25.680222
Thunbergia grandiflora,-49.595556,-25.464167
Thunbergia grandiflora,-49.595583,-25.464194
Thunbergia grandiflora,-51.119956,-30.068283
Thunbergia grandiflora,-47.861466,-15.768829
Thunbergia grandiflora,-60.950006,-2.618658
Thunbergia grandiflora,-51.124741,-30.075444
Thunbergia grandiflora,-46.646983,-23.560488
Thunbergia grandiflora,-43.025421,-22.573464
Thunbergia grandiflora,-56.516106,-20.98262
Thunbergia grandiflora,-47.883923,-15.726863
Thunbergia grandiflora,-40.077222,-19.373889
Thunbergia grandiflora,-37.057653,-10.93478
Thunbergia grandiflora,-49.400167,-16.565016
Thunbergia grandiflora,-45.042717,-22.54658
Thunbergia grandiflora,-47.976118,-15.901079
Thunbergia grandiflora,-49.225531,-16.653321
Thunbergia grandiflora,-49.429636,-16.493555
Thunbergia grandiflora,-47.545639,-22.39525
Thunbergia grandiflora,-44.71369,-23.218615
Thunbergia grandiflora,-46.639557,-23.555771
Thunbergia grandiflora,-54.573554,-25.550385
Thunbergia grandiflora,-39.070834,-16.49873
Thunbergia grandiflora,-46.551049,-23.664921
Thunbergia grandiflora,-47.561876,-24.004135
Thunbergia grandiflora,-43.225047000000004,-22.972013
Thunbergia grandiflora,-51.119741,-30.068436
Thunbergia grandiflora,-48.960967,-15.85143
Thunbergia grandiflora,-47.94331,-15.844499
Thunbergia grandiflora,-47.480697,-17.250006
Thunbergia grandiflora,-47.314772,-23.632722
Thunbergia grandiflora,-43.222283,-22.963785
Thunbergia grandiflora,-47.878219,-15.778689
Thunbergia grandiflora,-45,-23.4
Thunbergia grandiflora,-49.302184,-25.438296
Thunbergia grandiflora,-46.298278,-22.853849
Thunbergia grandiflora,-47.885072,-15.74334
Thunbergia grandiflora,-44.719828,-23.312355
Thunbergia grandiflora,-38.383092,-12.933836
Thunbergia grandiflora,-47.930431,-15.78674
Thunbergia grandiflora,-47.886176,-15.743457
Thunbergia grandiflora,-56.092415,-9.86228
Thunbergia grandiflora,-48.163058,-21.807606
Thunbergia grandiflora,-54.833382,-22.209473
Thunbergia grandiflora,-38.073089,-12.648029
Thunbergia grandiflora,-61.727906,3.696556
Thunbergia grandiflora,-47.901382,-15.809422
Thunbergia grandiflora,-46.65704,-23.569885
Thunbergia grandiflora,-43.637072,-23.005086
Thunbergia grandiflora,-59.973944,-3.07451
Thunbergia grandiflora,-47.876889,-15.74932
Thunbergia grandiflora,-47.914444,-15.837103
Thunbergia grandiflora,-48.708019,-16.184828
Thunbergia grandiflora,-45.698292,-22.802803
Thunbergia grandiflora,-39.113447,-16.711428
Thunbergia grandiflora,-43.544442,-23.019019
Thunbergia grandiflora,-43.404133,-22.962097
Thunbergia grandiflora,-49.235316,-16.708367
Thunbergia grandiflora,-43.882081,-19.63513
Thunbergia grandiflora,-43.950644,-19.813248
Thunbergia grandiflora,-47.885826,-15.781865
Thunbergia grandiflora,-43.689444,-22.771111
Thunbergia grandiflora,-43.881662,-19.635394
Thunbergia grandiflora,-47.861667,-15.76878
Thunbergia grandiflora,-46.655913,-23.584844
Thunbergia grandiflora,-54.484281,-25.614103
Thunbergia grandiflora,-46.95697,-22.883959
Thunbergia grandiflora,-46.888703,-23.558897
Thunbergia grandiflora,-46.995462,-22.950555
Thunbergia grandiflora,-48.260638,-1.368114
Thunbergia grandiflora,-40.100612,-19.196027
Thunbergia grandiflora,-47.061364,-22.659155
Thunbergia grandiflora,-54.535231,-25.538
Thunbergia grandiflora,-46.655237,-23.585883
Thunbergia grandiflora,-48.443054,-1.423889
Thunbergia grandiflora,-43.222733,-22.966199
Thunbergia grandiflora,-49.401554,-19.165546
Thunbergia grandiflora,-42.464695,-22.305186
Thunbergia grandiflora,-47.081111,-22.647222
Thunbergia grandiflora,-47.863705,-15.79323
Thunbergia grandiflora,-48.658804,-17.768125
Thunbergia grandiflora,-43.416613,-22.591977
Thunbergia grandiflora,-54.61313,-20.499015
Thunbergia grandiflora,-51.157322,-29.79668
Thunbergia grandiflora,-43.21778,-22.97583
Thunbergia grandiflora,-47.266941,-22.762598
Thunbergia grandiflora,-34.9475,-8.018056
Thunbergia grandiflora,-46.655913,-23.584843
Thunbergia grandiflora,-49.204808,-16.713837
Thunbergia grandiflora,-46.730937,-23.566475
Thunbergia grandiflora,-46.808333,-22.7575
Thunbergia grandiflora,-51.980009,-31.366051
Thunbergia grandiflora,-43.438268,-22.586237
Thunbergia grandiflora,-47.545165,-22.395026
Thunbergia grandiflora,-43.416039,-22.602214
Thunbergia grandiflora,-43.435692,-22.603522
Thunbergia grandiflora,-45.16518,-23.483204
Thunbergia grandiflora,-43.003333,-22.918889
Thunbergia grandiflora,-43.416039,-22.602214
Thunbergia grandiflora,-43.416039,-22.602214
Thunbergia grandiflora,-43.416039,-22.602214
Thunbergia grandiflora,-43.416039,-22.602214
Thunbergia grandiflora,-43.416039,-22.602214
Thunbergia grandiflora,-43.416039,-22.602214
Thunbergia grandiflora,-37.6,-11.8
Thunbergia grandiflora,-56.535218,-20.980769
Thunbergia grandiflora,-54.61,-20.388056
Thunbergia grandiflora,-53.593333,-24.736111
Thunbergia grandiflora,-54.61,-20.388055
Thunbergia grandiflora,-44.092222,-22.519444
Thunbergia grandiflora,-43.416039,-22.602214
Thunbergia grandiflora,-56.097115,-9.877921
Thunbergia grandiflora,-34.860278,-7.135556
Thunbergia grandiflora,-40.899722,-3.915833
Thunbergia grandiflora,-40.899667,-3.915889
Thunbergia grandiflora,-54.445442,-25.680006
Thunbergia grandiflora,-42.985,-22.843333
Thunbergia grandiflora,-47.8,-21.166667
Thunbergia grandiflora,-43.525264,-22.316124
Thunbergia grandiflora,-44.050833,-19.825
Thunbergia grandiflora,-36.220408,-10.076619
Thunbergia grandiflora,-37.501544,-10.292592
Thunbergia grandiflora,-36.304761,-9.934822
Thunbergia grandiflora,-52.325,-24.104444
Thunbergia grandiflora,-47.533333,-22.383333
Thunbergia grandiflora,-47.85,-15.866667
Thunbergia grandiflora,-47.85,-15.866667
Thunbergia grandiflora,-35.470444,-8.188611
Thunbergia grandiflora,-47.85,-15.866667
Thunbergia grandiflora,-47.85,-15.866667
Thunbergia grandiflora,-59.58,-2.53
Thunbergia grandiflora,-59.966667,-2.883333
Thunbergia grandiflora,-35.5,-7.25
Thunbergia grandiflora,-47.871389,-22.205
Thunbergia grandiflora,-42.25,-22.5
Thunbergia grandiflora,-60.08,-2.32
Thunbergia grandiflora,-60.08,-2.32
Thunbergia grandiflora,-46.63,-23.540278
Thunbergia grandiflora,-46.6304064,-23.5441636
Thunbergia grandiflora,-46.7903018,-23.4124781
Thunbergia grandiflora,-47.0608,-22.9056
Thunbergia grandiflora,-51.9386,-23.4253
Thunbergia grandiflora,-36.575711,-10.25915
Thunbergia grandiflora,-45.409722,-23.620278
Thunbergia grandiflora,-45.4100222,-23.6241677
Thunbergia grandiflora,-34.863056,-7.115
Thunbergia grandiflora,-34.881111,-8.054167
Thunbergia grandiflora,-34.881111,-8.054167
