Species,decimalLongitude,decimalLatitude
Tithonia diversifolia,-44.522607,-22.454952
Tithonia diversifolia,-38.088253,-7.870405
Tithonia diversifolia,-47.135714,-22.95717
Tithonia diversifolia,-52.379444,-27.045
Tithonia diversifolia,-47.866963,-21.991718
Tithonia diversifolia,-49.132594,-5.467011
Tithonia diversifolia,-44.004256,-19.851104
Tithonia diversifolia,-40.619,-19.955762
Tithonia diversifolia,-44.006653,-19.856616
Tithonia diversifolia,-47.835465,-15.871324
Tithonia diversifolia,-35.223515,-5.930694
Tithonia diversifolia,-38.935392,-4.262745
Tithonia diversifolia,-38.935319,-4.263267
Tithonia diversifolia,-47.84875,-15.695004
Tithonia diversifolia,-47.837877,-15.873068
Tithonia diversifolia,-47.541854,-22.406637
Tithonia diversifolia,-43.159992,-22.434397
Tithonia diversifolia,-49.069761,-26.927541
Tithonia diversifolia,-47.838299,-15.700646
Tithonia diversifolia,-46.100517,-15.912044
Tithonia diversifolia,-49.282779,-25.376811
Tithonia diversifolia,-47.498365,-4.962087
Tithonia diversifolia,-44.549503,-22.394122
Tithonia diversifolia,-46.638778,-23.456291
Tithonia diversifolia,-46.65645,-23.589188
Tithonia diversifolia,-47.93461,-15.737148
Tithonia diversifolia,-47.817671,-15.863074
Tithonia diversifolia,-49.171111,-26.5375
Tithonia diversifolia,-49.171111,-26.5375
Tithonia diversifolia,-48.627213,-26.934478
Tithonia diversifolia,-43.406931,-22.587687
Tithonia diversifolia,-47.857363,-15.675977
Tithonia diversifolia,-40.527672,-20.689572
Tithonia diversifolia,-49.265198,-25.426876
Tithonia diversifolia,-47.508406,-14.131415
Tithonia diversifolia,-42.879405,-20.747702
Tithonia diversifolia,-38.738348,-3.622777
Tithonia diversifolia,-49.443752,-27.073654
Tithonia diversifolia,-45.59953,-22.732607
Tithonia diversifolia,-46.511733,-23.408208
Tithonia diversifolia,-47.531925,-15.958087
Tithonia diversifolia,-46.198412,-23.504801
Tithonia diversifolia,-40.232297,-3.100336
Tithonia diversifolia,-41.286111,-21.355833
Tithonia diversifolia,-47.489542,-14.143956
Tithonia diversifolia,-46.641017,-23.458513
Tithonia diversifolia,-46.640486,-23.458707
Tithonia diversifolia,-36.378945,-8.247122
Tithonia diversifolia,-46.468123,-23.575596
Tithonia diversifolia,-48.500327,-22.887032
Tithonia diversifolia,-49.055556,-25.430278
Tithonia diversifolia,-49.055556,-25.430278
Tithonia diversifolia,-38.487747,-3.811865
Tithonia diversifolia,-48.655366,-27.495574
Tithonia diversifolia,-46.394074,-23.992324
Tithonia diversifolia,-38.582071,-7.051512
Tithonia diversifolia,-43.232107,-22.840065
Tithonia diversifolia,-44.771522,-23.193172
Tithonia diversifolia,-48.610847,-27.013483
Tithonia diversifolia,-45.80011,-22.623318
Tithonia diversifolia,-49.506124,-28.631938
Tithonia diversifolia,-48.618805,-28.033347
Tithonia diversifolia,-48.571667,-25.543333
Tithonia diversifolia,-48.571667,-25.543333
Tithonia diversifolia,-48.097708,-15.882891
Tithonia diversifolia,-39.465453,-7.232103
Tithonia diversifolia,-44.143899,-16.400868
Tithonia diversifolia,-45.850525,-22.691195
Tithonia diversifolia,-42.339167,-22.876111
Tithonia diversifolia,-35.747409,-6.973847
Tithonia diversifolia,-60.301414,-3.053661
Tithonia diversifolia,-47.807961,-15.803995
Tithonia diversifolia,-48.638154,-27.011164
Tithonia diversifolia,-48.866699,-26.81276
Tithonia diversifolia,-47.809137,-15.798455
Tithonia diversifolia,-47.802912,-15.803828
Tithonia diversifolia,-48.516944,-27.597222
Tithonia diversifolia,-48.516944,-27.597222
Tithonia diversifolia,-56.067833,-15.618972
Tithonia diversifolia,-40.687506,-16.185422
Tithonia diversifolia,-47.857327,-15.67513
Tithonia diversifolia,-47.790755,-14.160998
Tithonia diversifolia,-45.89037,-21.70102
Tithonia diversifolia,-46.884027,-22.758576
Tithonia diversifolia,-38.5725,-3.746078
Tithonia diversifolia,-47.857105,-15.674041
Tithonia diversifolia,-43.310414,-22.599606
Tithonia diversifolia,-47.519623,-22.376699
Tithonia diversifolia,-43.860045,-19.976352
Tithonia diversifolia,-43.384076,-21.762289
Tithonia diversifolia,-46.527363,-23.306547
Tithonia diversifolia,-47.857115,-15.674255
Tithonia diversifolia,-47.661389,-15.604444
Tithonia diversifolia,-47.661389,-15.604444
Tithonia diversifolia,-47.661389,-15.604444
Tithonia diversifolia,-47.661389,-15.604444
Tithonia diversifolia,-47.661388,-15.604444
Tithonia diversifolia,-47.661388,-15.604444
Tithonia diversifolia,-47.857147,-15.674028
Tithonia diversifolia,-46.433381,-23.720374
Tithonia diversifolia,-48.058416,-15.785671
Tithonia diversifolia,-48.675155,-28.099519
Tithonia diversifolia,-47.92915,-15.802154
Tithonia diversifolia,-63.90788,-8.669402
Tithonia diversifolia,-44.304976,-2.553648
Tithonia diversifolia,-46.585788,-23.318242
Tithonia diversifolia,-47.879578,-15.767033
Tithonia diversifolia,-61.734797,3.777913
Tithonia diversifolia,-38.433333,-12.783333
Tithonia diversifolia,-46.301333,-23.776955
Tithonia diversifolia,-48.439793,-22.838899
Tithonia diversifolia,-48.498834,-22.885135
Tithonia diversifolia,-47.504606,-14.126132
Tithonia diversifolia,-47.545176,-22.396595
Tithonia diversifolia,-43.799679,-19.973371
Tithonia diversifolia,-37.053039,-10.948675
Tithonia diversifolia,-48.650909,-26.808465
Tithonia diversifolia,-48.917069,-27.098997
Tithonia diversifolia,-44.821389,-2.695833
Tithonia diversifolia,-48.46327,-27.553888
Tithonia diversifolia,-49.512427,-25.452649
Tithonia diversifolia,-48.876168,-27.065804
Tithonia diversifolia,-45.355594,-23.802525
Tithonia diversifolia,-46.663873,-23.594672
Tithonia diversifolia,-44.004134,-19.853029
Tithonia diversifolia,-53,-27
Tithonia diversifolia,-39.3925,-7.293611
Tithonia diversifolia,-47.99443,-16.079016
Tithonia diversifolia,-57.688889,-16.096667
Tithonia diversifolia,-57.688611,-16.096667
Tithonia diversifolia,-36.486477,-8.889241
Tithonia diversifolia,-51.166201,-23.319711
Tithonia diversifolia,-46.6,-23.414167
Tithonia diversifolia,-46.613801,-23.44066
Tithonia diversifolia,-46.519442,-23.495176
Tithonia diversifolia,-35.00421,-7.967126
Tithonia diversifolia,-43.856485,-19.978604
