scientific_name,decimalLongitude,decimalLatitude
Trachelyopterus galeatus,-53.290556,-22.723056
Trachelyopterus galeatus,-53.600278,-22.856667
Trachelyopterus galeatus,-55.105256,-22.254411
Trachelyopterus galeatus,-52.046246,-3.297802
Trachelyopterus galeatus,-49.501,-2.259
Trachelyopterus galeatus,-54.933228,-10.065194
Trachelyopterus galeatus,-54.255278,-24.076111
Trachelyopterus galeatus,-52.909611,-22.460361
Trachelyopterus galeatus,-51.790953,-21.596653
Trachelyopterus galeatus,-51.783869,-21.601414
Trachelyopterus galeatus,-56.655556,-29.424722
Trachelyopterus galeatus,-52.164806,-22.601917
Trachelyopterus galeatus,-64.484722,-0.3875
Trachelyopterus galeatus,-59.870889,-3.561611
Trachelyopterus galeatus,-51.631611,-22.660278
Trachelyopterus galeatus,-52.164806,-22.601917
Trachelyopterus galeatus,-51.631611,-22.660278
Trachelyopterus galeatus,-51.539139,-22.686333
Trachelyopterus galeatus,-52.164806,-22.601917
Trachelyopterus galeatus,-56.754165,-29.410556
Trachelyopterus galeatus,-51.631611,-22.660278
Trachelyopterus galeatus,-51.058889,-4.213889
Trachelyopterus galeatus,-50.61,-4.625556
Trachelyopterus galeatus,-51.286667,-4.662222
Trachelyopterus galeatus,-49.620278,-5.609167
Trachelyopterus galeatus,-40.580278,-9.467222
Trachelyopterus galeatus,-40.580278,-9.467222
Trachelyopterus galeatus,-40.580278,-9.467222
Trachelyopterus galeatus,-40.580278,-9.467222
Trachelyopterus galeatus,-42.306111,-19.238611
Trachelyopterus galeatus,-42.306111,-19.238611
Trachelyopterus galeatus,-61.196833,1.787611
Trachelyopterus galeatus,-56.987778,-10.358333
Trachelyopterus galeatus,-56.982222,-10.35
Trachelyopterus galeatus,-56.961667,-10.360556
Trachelyopterus galeatus,-59.915472,-3.166028
Trachelyopterus galeatus,-54.203333,-24.918611
Trachelyopterus galeatus,-57.019722,-19.577778
Trachelyopterus galeatus,-56.982222,-10.351667
Trachelyopterus galeatus,-46.02494,-4.93856
Trachelyopterus galeatus,-56.965,-10.360833
Trachelyopterus galeatus,-51.631611,-22.660278
Trachelyopterus galeatus,-51.631611,-22.660278
Trachelyopterus galeatus,-51.796556,-21.134131
Trachelyopterus galeatus,-51.796556,-21.134131
Trachelyopterus galeatus,-56.776111,-29.414444
Trachelyopterus galeatus,-56.982222,-10.35
Trachelyopterus galeatus,-56.961667,-10.360556
Trachelyopterus galeatus,-56.965,-10.360833
Trachelyopterus galeatus,-56.982222,-10.351667
Trachelyopterus galeatus,-56.978333,-10.321111
Trachelyopterus galeatus,-56.97985,-10.3516
Trachelyopterus galeatus,-56.983889,-10.330556
Trachelyopterus galeatus,-50.61,-4.625556
Trachelyopterus galeatus,-56.998889,-10.358611
Trachelyopterus galeatus,-56.97985,-10.3516
Trachelyopterus galeatus,-51.088333,-6.625556
Trachelyopterus galeatus,-56.982222,-10.351667
Trachelyopterus galeatus,-70.27035,-4.362825
Trachelyopterus galeatus,-57.018639,-19.577167
Trachelyopterus galeatus,-57.018639,-19.577167
Trachelyopterus galeatus,-70.81989,-4.23202
Trachelyopterus galeatus,-70.84589,-4.25267
Trachelyopterus galeatus,-70.77947,-4.17657
Trachelyopterus galeatus,-70.79331,-4.18496
Trachelyopterus galeatus,-50.805278,-4.320833
Trachelyopterus galeatus,-51.091111,1.022778
Trachelyopterus galeatus,-56.979722,-10.351944
Trachelyopterus galeatus,-56.971667,-10.361944
Trachelyopterus galeatus,-56.164167,-28.570833
Trachelyopterus galeatus,-56.987778,-10.358333
Trachelyopterus galeatus,-56.969444,-10.361389
Trachelyopterus galeatus,-56.982222,-10.351667
Trachelyopterus galeatus,-56.971667,-10.361944
Trachelyopterus galeatus,-56.981389,-10.351667
Trachelyopterus galeatus,-56.961667,-10.360556
Trachelyopterus galeatus,-56.998889,-10.358611
Trachelyopterus galeatus,-56.97985,-10.3516
Trachelyopterus galeatus,-56.979722,-10.351944
Trachelyopterus galeatus,-54.069111,-22.238694
Trachelyopterus galeatus,-54.069111,-22.238694
Trachelyopterus galeatus,-53.256667,-22.764167
Trachelyopterus galeatus,-56.979722,-10.351944
Trachelyopterus galeatus,-56.979722,-10.351944
Trachelyopterus galeatus,-59.90868,-3.18791
Trachelyopterus galeatus,-72.791081,-7.57215
Trachelyopterus galeatus,-72.791081,-7.57215
Trachelyopterus galeatus,-45.0825,-2.521389
Trachelyopterus galeatus,-45.0825,-2.521389
Trachelyopterus galeatus,-61.75069,-8.43747
Trachelyopterus galeatus,-58.36638,-6.47415
Trachelyopterus galeatus,-41.623611,-9.6075
Trachelyopterus galeatus,-44.869833,-3.465083
Trachelyopterus galeatus,-44.869833,-3.465083
Trachelyopterus galeatus,-44.869833,-3.465083
Trachelyopterus galeatus,-55.139197,-2.327789
Trachelyopterus galeatus,-51.209444,0.880556
Trachelyopterus galeatus,-45.430978,-3.653989
Trachelyopterus galeatus,-45.323333,-2.263611
Trachelyopterus galeatus,-45.430978,-3.653989
Trachelyopterus galeatus,-45.323333,-2.263611
Trachelyopterus galeatus,-55.39225,-8.39621
Trachelyopterus galeatus,-59.908056,-3.163056
Trachelyopterus galeatus,-59.9,-3.15
Trachelyopterus galeatus,-59.9,-3.15
Trachelyopterus galeatus,-59.9,-3.15
Trachelyopterus galeatus,-59.9,-3.15
Trachelyopterus galeatus,-59.9,-3.15
Trachelyopterus galeatus,-56.352522,-28.946525
Trachelyopterus galeatus,-43.119444,-13.960556
Trachelyopterus galeatus,-61.813222,-9.0275
Trachelyopterus galeatus,-61.748833,-9.033861
Trachelyopterus galeatus,-57.040694,-19.526222
Trachelyopterus galeatus,-57.0145,-19.575639
Trachelyopterus galeatus,-57.03725,-19.579583
Trachelyopterus galeatus,-57.018056,-19.576667
Trachelyopterus galeatus,-57.0145,-19.575639
Trachelyopterus galeatus,-57.040694,-19.526222
Trachelyopterus galeatus,-57.0145,-19.575639
Trachelyopterus galeatus,-57.03725,-19.579583
Trachelyopterus galeatus,-57.018056,-19.576667
Trachelyopterus galeatus,-57.0145,-19.575639
Trachelyopterus galeatus,-59.010278,-3.227222
Trachelyopterus galeatus,-45.068333,-16.663889
Trachelyopterus galeatus,-55.834722,-13.7425
Trachelyopterus galeatus,-52.215833,-1.775
Trachelyopterus galeatus,-52.18225,-3.347611
Trachelyopterus galeatus,-53.223418,-22.749641
Trachelyopterus galeatus,-53.293889,-22.756667
Trachelyopterus galeatus,-55.039806,-2.186083
Trachelyopterus galeatus,-58.947778,-3.572778
Trachelyopterus galeatus,-52.186111,-22.653056
Trachelyopterus galeatus,-53.342778,-22.751111
Trachelyopterus galeatus,-51.918333,-6.227778
Trachelyopterus galeatus,-57.671111,-5.095556
Trachelyopterus galeatus,-57.117778,-5.608889
Trachelyopterus galeatus,-47.304418,-16.0277
Trachelyopterus galeatus,-42.571,-16.741
Trachelyopterus galeatus,-37.771526,-5.658194
Trachelyopterus galeatus,-37.771526,-5.658194
Trachelyopterus galeatus,-37.771526,-5.658194
Trachelyopterus galeatus,-57.35,-5.1
Trachelyopterus galeatus,-58.3,-6.5
Trachelyopterus galeatus,-64.545639,-6.516722
Trachelyopterus galeatus,-64.52025,-6.521667
Trachelyopterus galeatus,-51.689442,-21.053608
Trachelyopterus galeatus,-51.689442,-21.053608
Trachelyopterus galeatus,-58.3,-6.5
Trachelyopterus galeatus,-64.546639,-6.615444
Trachelyopterus galeatus,-64.5595,-6.562694
Trachelyopterus galeatus,-64.561778,-6.593528
Trachelyopterus galeatus,-51.7653,-21.051628
Trachelyopterus galeatus,-46.594167,-1.745556
Trachelyopterus galeatus,-46.555833,-1.676111
Trachelyopterus galeatus,-46.549444,-1.700556
Trachelyopterus galeatus,-51.626111,-20.734594
Trachelyopterus galeatus,-42.691111,-17.126667
Trachelyopterus galeatus,-55.301944,-3.295833
Trachelyopterus galeatus,-43.35,-4.85
Trachelyopterus galeatus,-57.039639,-19.541417
Trachelyopterus galeatus,-57.018972,-19.576306
Trachelyopterus galeatus,-43.35,-4.85
Trachelyopterus galeatus,-57.039639,-19.541417
Trachelyopterus galeatus,-57.018972,-19.576306
Trachelyopterus galeatus,-56.494167,-9.448333
Trachelyopterus galeatus,-45.968889,-8.978889
Trachelyopterus galeatus,-54.0773,-24.0312
Trachelyopterus galeatus,-46.555833,-1.676111
Trachelyopterus galeatus,-52.146106,-21.037217
Trachelyopterus galeatus,-52.120333,-21.020222
Trachelyopterus galeatus,-42.814722,-16.587778
Trachelyopterus galeatus,-55.171389,-2.106111
Trachelyopterus galeatus,-55.039722,-2.186111
Trachelyopterus galeatus,-54.857778,-2.1915
Trachelyopterus galeatus,-61.809167,-9.040833
Trachelyopterus galeatus,-61.748833,-9.033861
Trachelyopterus galeatus,-61.813222,-9.0275
Trachelyopterus galeatus,-62.374639,-8.664556
Trachelyopterus galeatus,-61.569636,-8.919808
Trachelyopterus galeatus,-59.915278,-3.161667
Trachelyopterus galeatus,-43.34694,-4.87472
Trachelyopterus galeatus,-43.34694,-4.87472
Trachelyopterus galeatus,-43.34694,-4.87472
Trachelyopterus galeatus,-43.34694,-4.87472
Trachelyopterus galeatus,-43.34694,-4.87472
Trachelyopterus galeatus,-53.253056,-22.747222
Trachelyopterus galeatus,-53.537222,-22.794444
Trachelyopterus galeatus,-46.125556,-4.739167
Trachelyopterus galeatus,-46.420556,-3.950556
Trachelyopterus galeatus,-46.775278,-5.013889
Trachelyopterus galeatus,-45.894722,-4.988056
Trachelyopterus galeatus,-45.605,-4.057222
Trachelyopterus galeatus,-45.898611,-4.426667
Trachelyopterus galeatus,-52.493611,-19.531111
Trachelyopterus galeatus,-52.548889,-19.462778
Trachelyopterus galeatus,-40.129166,-7.199528
Trachelyopterus galeatus,-40.12461,-6.601889
Trachelyopterus galeatus,-62.982778,-5.015556
Trachelyopterus galeatus,-39.733333,-14.133333
Trachelyopterus galeatus,-44.036289,-17.471022
Trachelyopterus galeatus,-39.07019,-16.28324
Trachelyopterus galeatus,-63.016389,-5.041667
Trachelyopterus galeatus,-63.234444,-5.721667
Trachelyopterus galeatus,-62.993889,-4.997222
Trachelyopterus galeatus,-51.579722,-22.92
Trachelyopterus galeatus,-51.579722,-22.92
Trachelyopterus galeatus,-47.356631,-16.111373
Trachelyopterus galeatus,-42.814722,-16.587778
Trachelyopterus galeatus,-53.9019,-23.5752
Trachelyopterus galeatus,-53.3425,-22.74
Trachelyopterus galeatus,-53.332778,-22.730833
Trachelyopterus galeatus,-56.494167,-9.448333
Trachelyopterus galeatus,-52.481667,-21.689089
Trachelyopterus galeatus,-52.481667,-21.689089
Trachelyopterus galeatus,-39.941111,-14.076944
Trachelyopterus galeatus,-53.346111,-22.750833
Trachelyopterus galeatus,-42.295,-16.634
Trachelyopterus galeatus,-54.583622,-25.591881
Trachelyopterus galeatus,-54.583622,-25.591881
Trachelyopterus galeatus,-49.613889,-18.476667
Trachelyopterus galeatus,-47.642222,-4.927778
Trachelyopterus galeatus,-56.418611,-16.427778
Trachelyopterus galeatus,-50.155278,-6.615556
Trachelyopterus galeatus,-46.485,-4.460833
Trachelyopterus galeatus,-47.556944,-4.578056
Trachelyopterus galeatus,-47.556944,-4.578056
Trachelyopterus galeatus,-46.775278,-5.013889
Trachelyopterus galeatus,-45.938889,-3.380556
Trachelyopterus galeatus,-45.894722,-4.988056
Trachelyopterus galeatus,-47.102222,-5.309167
Trachelyopterus galeatus,-46.246111,-4.039444
Trachelyopterus galeatus,-45.605,-4.057222
Trachelyopterus galeatus,-46.420556,-3.950556
Trachelyopterus galeatus,-46.246111,-4.039444
Trachelyopterus galeatus,-47.123333,-3.386111
Trachelyopterus galeatus,-57.039639,-19.541417
Trachelyopterus galeatus,-57.039639,-19.541417
Trachelyopterus galeatus,-62.858889,-7.0125
Trachelyopterus galeatus,-61.008056,1.923056
Trachelyopterus galeatus,-53.290278,-22.723056
Trachelyopterus galeatus,-50.417222,-13.147778
Trachelyopterus galeatus,-65.612222,-9.772778
Trachelyopterus galeatus,-65.268056,-10.866389
Trachelyopterus galeatus,-64.764472,-3.357056
Trachelyopterus galeatus,-65.376667,-10.413611
Trachelyopterus galeatus,-51.689442,-21.053608
Trachelyopterus galeatus,-51.689442,-21.053608
Trachelyopterus galeatus,-55.051389,-28.124444
Trachelyopterus galeatus,-50.021111,-6.419167
Trachelyopterus galeatus,-50.089722,-6.179722
Trachelyopterus galeatus,-50.021111,-6.419167
Trachelyopterus galeatus,-49.883611,-6.172222
Trachelyopterus galeatus,-50.195833,-6.411389
Trachelyopterus galeatus,-42.745278,-16.996389
Trachelyopterus galeatus,-47.730556,-19.129167
Trachelyopterus galeatus,-64.391389,-9.210278
Trachelyopterus galeatus,-47.168056,-19.178056
Trachelyopterus galeatus,-65.223889,-11.608056
