scientific_name,decimalLongitude,decimalLatitude
Trachelyopterus lucenai,-51.785203,-31.120664
Trachelyopterus lucenai,-49.601028,-29.145194
Trachelyopterus lucenai,-56.164167,-28.570833
Trachelyopterus lucenai,-49.926278,-29.153306
Trachelyopterus lucenai,-51.183334,-30.049999
Trachelyopterus lucenai,-51.053612,-30.137222
Trachelyopterus lucenai,-52.266667,-31.466667
Trachelyopterus lucenai,-53.234722,-29.262777
Trachelyopterus lucenai,-51.189724,-29.833334
Trachelyopterus lucenai,-50.266666,-30.283333
Trachelyopterus lucenai,-50.366665,-30.450001
Trachelyopterus lucenai,-54.892502,-30.237778
Trachelyopterus lucenai,-51.309167,-30.181667
Trachelyopterus lucenai,-51.930557,-31.035278
Trachelyopterus lucenai,-51.258888,-30.019167
Trachelyopterus lucenai,-51.25,-30.049999
Trachelyopterus lucenai,-51.247501,-30
Trachelyopterus lucenai,-51.25,-29.966667
Trachelyopterus lucenai,-51.25,-29.966667
Trachelyopterus lucenai,-51.5,-30.916666
Trachelyopterus lucenai,-51.247501,-30
Trachelyopterus lucenai,-51.318054,-30.139723
Trachelyopterus lucenai,-51.25,-29.966667
Trachelyopterus lucenai,-53.150002,-29.9
Trachelyopterus lucenai,-51.183334,-30.049999
Trachelyopterus lucenai,-51.450001,-30.049999
Trachelyopterus lucenai,-51.25,-29.96667
