Species,decimalLongitude,decimalLatitude
Trachemys dorbigni,-51.998011,-29.458806
Trachemys dorbigni,-50.223376,-30.156582
Trachemys dorbigni,-51.202,-30.027861
Trachemys dorbigni,-49.248718,-25.441402
Trachemys dorbigni,-49.532293,-27.148827
Trachemys dorbigni,-52.340661,-31.769913
Trachemys dorbigni,-46.629819,-23.456003
Trachemys dorbigni,-46.629819,-23.456003
Trachemys dorbigni,-49.265198,-25.426876
Trachemys dorbigni,-50.884525,-29.39023
Trachemys dorbigni,-49.283468,-25.396826
Trachemys dorbigni,-51.241467,-30.037216
Trachemys dorbigni,-53.046828,-24.19267
Trachemys dorbigni,-46.534993,-23.647747
Trachemys dorbigni,-45.885814,-23.168427
Trachemys dorbigni,-47.037134,-22.815781
Trachemys dorbigni,-45.891566,-23.21984
Trachemys dorbigni,-46.947739,-23.600799
Trachemys dorbigni,-48.510435,-27.595719
Trachemys dorbigni,-48.510104,-27.595741
Trachemys dorbigni,-46.636361,-23.452485
Trachemys dorbigni,-49.193323,-25.43235
Trachemys dorbigni,-46.574991,-23.528549
Trachemys dorbigni,-51.526535,-29.148443
Trachemys dorbigni,-50.402818,-30.065663
Trachemys dorbigni,-34.927639,-7.888492
Trachemys dorbigni,-47.934727,-19.76346
Trachemys dorbigni,-46.530682,-23.672287
Trachemys dorbigni,-54.0892,-29.885726
Trachemys dorbigni,-49.238504,-25.442875
Trachemys dorbigni,-53.743742,-29.719541
Trachemys dorbigni,-49.283636,-25.396915
Trachemys dorbigni,-46.513052,-23.487111
Trachemys dorbigni,-48.62887,-24.588085
Trachemys dorbigni,-48.62887,-24.588085
Trachemys dorbigni,-49.283844,-25.396953
Trachemys dorbigni,-49.238257,-25.440567
Trachemys dorbigni,-53.741126,-29.7198
Trachemys dorbigni,-57.5531,-30.209004
Trachemys dorbigni,-53.741002,-29.720024
Trachemys dorbigni,-46.635597,-23.458718
Trachemys dorbigni,-48.641243,-26.976253
Trachemys dorbigni,-48.511305,-27.59947
Trachemys dorbigni,-46.573972,-23.528339
Trachemys dorbigni,-53.741169,-29.719529
Trachemys dorbigni,-49.369569,-28.79673
Trachemys dorbigni,-53.704571,-29.108111
Trachemys dorbigni,-52.256006,-32.041916
Trachemys dorbigni,-51.235266,-30.043027
Trachemys dorbigni,-46.730439,-23.566311
Trachemys dorbigni,-46.730439,-23.566311
Trachemys dorbigni,-51.157727,-30.02294
Trachemys dorbigni,-52.576685,-32.619129
Trachemys dorbigni,-51.603723,-29.858428
Trachemys dorbigni,-51.179264,-30.050817
Trachemys dorbigni,-51.217794,-30.037094
Trachemys dorbigni,-51.710488,-20.779326
Trachemys dorbigni,-50.916253,-31.107291
Trachemys dorbigni,-46.621892,-23.441493
Trachemys dorbigni,-48.507701,-27.580919
Trachemys dorbigni,-49.73295,-29.343098
Trachemys dorbigni,-53.804312,-29.689722
Trachemys dorbigni,-48.510355,-27.597638
Trachemys dorbigni,-51.096515,-31.300855
Trachemys dorbigni,-44.882904,-21.354155
Trachemys dorbigni,-45.884046,-23.169307
Trachemys dorbigni,-51.171544,-30.152986
Trachemys dorbigni,-46.687557,-23.581512
Trachemys dorbigni,-53.740921,-29.716301
Trachemys dorbigni,-50.240757,-29.891475
Trachemys dorbigni,-46.355228,-23.683345
Trachemys dorbigni,-51.176994,-30.051382
Trachemys dorbigni,-46.519442,-23.495176
Trachemys dorbigni,-48.46958,-27.514306
Trachemys dorbigni,-52.187561,-32.162751
Trachemys dorbigni,-40.257326,-20.254872
Trachemys dorbigni,-46.976522,-23.904658
Trachemys dorbigni,-43.91687,-19.893364
Trachemys dorbigni,-49.793066,-27.185723
Trachemys dorbigni,-46.62137,-23.639115
Trachemys dorbigni,-46.528639,-23.675225
Trachemys dorbigni,-46.62137,-23.639091
Trachemys dorbigni,-53.737897,-29.71377
Trachemys dorbigni,-46.534769,-23.647766
Trachemys dorbigni,-49.265198,-25.426898
Trachemys dorbigni,-51.121555,-30.075144
Trachemys dorbigni,-52.205695,-31.929139
Trachemys dorbigni,-51.179144,-30.050755
Trachemys dorbigni,-52.196912,-31.921344
Trachemys dorbigni,-52.196912,-31.921344
Trachemys dorbigni,-51.158047,-30.022896
Trachemys dorbigni,-46.61978,-23.639186
Trachemys dorbigni,-46.5289,-23.677458
Trachemys dorbigni,-46.621267,-23.638875
Trachemys dorbigni,-46.619634,-23.639256
Trachemys dorbigni,-45.754974,-22.701862
Trachemys dorbigni,-46.719743,-23.550904
Trachemys dorbigni,-54.079529,-30.586154
Trachemys dorbigni,-49.282406,-25.398417
Trachemys dorbigni,-43.690522,-22.7617
Trachemys dorbigni,-52.482294,-31.525258
Trachemys dorbigni,-52.412946,-25.402082
Trachemys dorbigni,-50.257321,-29.88627
Trachemys dorbigni,-50.985085,-31.218252
Trachemys dorbigni,-51.125255,-30.03066
Trachemys dorbigni,-49.269973,-25.437211
Trachemys dorbigni,-46.731167,-23.566356
Trachemys dorbigni,-51.232603,-30.058928
Trachemys dorbigni,-48.878987,-27.074431
Trachemys dorbigni,-49.808936,-25.416988
Trachemys dorbigni,-53.716931,-29.703998
Trachemys dorbigni,-49.283425,-25.396619
Trachemys dorbigni,-50.8091,-29.40456
Trachemys dorbigni,-53.539137,-30.76148
Trachemys dorbigni,-52.817845,-31.63404
Trachemys dorbigni,-46.573972,-23.528339
Trachemys dorbigni,-46.721735,-23.631371
Trachemys dorbigni,-51.928792,-23.423517
Trachemys dorbigni,-53.804312,-29.68956
Trachemys dorbigni,-46.882575,-23.586246
Trachemys dorbigni,-47.054103,-22.954249
Trachemys dorbigni,-50.256642,-29.886944
Trachemys dorbigni,-46.731113,-23.566483
Trachemys dorbigni,-56.810527,-29.470135
Trachemys dorbigni,-53.759643,-29.704555
Trachemys dorbigni,-46.637813,-23.458539
Trachemys dorbigni,-46.619473,-23.639242
Trachemys dorbigni,-42.817915,-2.768914
Trachemys dorbigni,-46.621547,-23.638747
Trachemys dorbigni,-49.323828,-28.525862
Trachemys dorbigni,-47.61548,-22.761143
Trachemys dorbigni,-46.722263,-23.633628
Trachemys dorbigni,-50.256676,-29.886744
Trachemys dorbigni,-45.053776,-22.111094
Trachemys dorbigni,-44.464921,-22.471955
Trachemys dorbigni,-45.961505,-22.215801
Trachemys dorbigni,-52.554285,-32.518996
Trachemys dorbigni,-45.961707,-22.216072
Trachemys dorbigni,-45.961536,-22.215813
Trachemys dorbigni,-49.73065,-29.341051
Trachemys dorbigni,-46.519442,-23.495176
Trachemys dorbigni,-46.509594,-23.486322
Trachemys dorbigni,-46.509594,-23.486322
Trachemys dorbigni,-46.530988,-23.673647
Trachemys dorbigni,-51.157482,-29.795402
Trachemys dorbigni,-49.207825,-25.377913
Trachemys dorbigni,-51.157288,-29.795587
Trachemys dorbigni,-48.024946,-15.832743
Trachemys dorbigni,-49.289378,-16.741791
Trachemys dorbigni,-46.528986,-23.677611
Trachemys dorbigni,-47.911481,-22.552971
Trachemys dorbigni,-50.195313,-29.818017
Trachemys dorbigni,-48.510642,-27.597751
Trachemys dorbigni,-53.41381,-33.482299
Trachemys dorbigni,-48.510045,-27.595075
Trachemys dorbigni,-53.635089,-29.281949
Trachemys dorbigni,-47.635421,-22.710978
Trachemys dorbigni,-46.727736,-23.503654
Trachemys dorbigni,-46.721935,-23.631863
Trachemys dorbigni,-51.17771,-30.052338
Trachemys dorbigni,-49.281993,-25.377937
Trachemys dorbigni,-54.20883,-30.297547
Trachemys dorbigni,-46.5945,-19.137298
Trachemys dorbigni,-41.95902,-18.861745
Trachemys dorbigni,-51.235054,-30.062391
Trachemys dorbigni,-46.627016,-23.639265
Trachemys dorbigni,-46.627016,-23.639265
Trachemys dorbigni,-51.932534,-23.45451
Trachemys dorbigni,-51.184704,-29.907491
Trachemys dorbigni,-47.884582,-15.741792
Trachemys dorbigni,-51.918079,-23.411276
Trachemys dorbigni,-51.932913,-23.425723
Trachemys dorbigni,-51.92992,-23.426077
Trachemys dorbigni,-51.930016,-23.425742
Trachemys dorbigni,-48.681113,-27.630154
Trachemys dorbigni,-49.238027,-25.440509
