scientific_name,decimalLongitude,decimalLatitude
Trachemys scripta,-43.224407,-22.970535
Trachemys scripta,-46.639557,-23.555771
Trachemys scripta,-46.619816,-23.639154
Trachemys scripta,-48.510604,-27.597593
Trachemys scripta,-41.609791,-22.224381
Trachemys scripta,-46.994562,-23.484254
Trachemys scripta,-46.62045,-23.650872
Trachemys scripta,-46.730378,-23.566035
Trachemys scripta,-46.619775,-23.639205
Trachemys scripta,-51.216657,-30.03567
Trachemys scripta,-46.627311,-23.639315
Trachemys scripta,-46.621109,-23.63907
Trachemys scripta,-47.934991,-19.762966
Trachemys scripta,-46.621578,-23.638696
Trachemys scripta,-46.622123,-23.63904
Trachemys scripta,-46.619127,-23.639263
Trachemys scripta,-48.456836,-27.611409
Trachemys scripta,-50.92578,-27.028335
Trachemys scripta,-46.621951,-23.639036
Trachemys scripta,-51.177144,-30.051571
Trachemys scripta,-51.177144,-30.051571
Trachemys scripta,-46.636879,-23.462685
Trachemys scripta,-48.271543,-18.941403
Trachemys scripta,-48.520048,-27.600329
Trachemys scripta,-46.62139,-23.63907
Trachemys scripta,-46.51543,-23.48376
Trachemys scripta,-46.635923,-23.457625
Trachemys scripta,-46.695003,-23.474092
Trachemys scripta,-51.176064,-23.364484
Trachemys scripta,-46.744452,-23.600115
Trachemys scripta,-51.526686,-29.148479
Trachemys scripta,-46.621455,-23.638849
Trachemys scripta,-46.6263,-23.639753
Trachemys scripta,-47.054676,-22.955342
Trachemys scripta,-46.528746,-23.677346
Trachemys scripta,-46.528798,-23.677584
Trachemys scripta,-46.621828,-23.639063
Trachemys scripta,-46.621549,-23.639034
Trachemys scripta,-46.621716,-23.639083
Trachemys scripta,-46.622254,-23.638994
Trachemys scripta,-51.179351,-30.050796
Trachemys scripta,-46.621002,-23.639056
Trachemys scripta,-46.621363,-23.639077
Trachemys scripta,-46.620841,-23.639082
Trachemys scripta,-49.238213,-25.440589
Trachemys scripta,-46.621364,-23.639109
Trachemys scripta,-46.619707,-23.639239
Trachemys scripta,-46.621368,-23.639106
Trachemys scripta,-46.621368,-23.63911
Trachemys scripta,-49.086114,-26.913354000000002
Trachemys scripta,-49.129071,-26.50869
Trachemys scripta,-49.129071,-26.50869
Trachemys scripta,-49.129071,-26.50869
Trachemys scripta,-49.129071,-26.50869
Trachemys scripta,-46.731047,-23.566705
Trachemys scripta,-48.874783,-27.192027
Trachemys scripta,-48.893377,-27.09978
Trachemys scripta,-51.233131,-30.043105
Trachemys scripta,-51.233224,-30.043113
Trachemys scripta,-46.627311,-23.639315
Trachemys scripta,-51.216075,-30.036767
Trachemys scripta,-46.727681,-23.503319
Trachemys scripta,-46.620976,-23.63908
Trachemys scripta,-46.621213,-23.638852
Trachemys scripta,-38.57119,-3.734416
Trachemys scripta,-40.271998,-20.243021
Trachemys scripta,-47.021343,-22.904925
Trachemys scripta,-48.507701,-27.580919
Trachemys scripta,-48.493387,-27.659922
Trachemys scripta,-45.436912,-23.642221
Trachemys scripta,-38.531966,-3.809233
Trachemys scripta,-46.701618,-23.588875
Trachemys scripta,-46.621249,-23.639073
Trachemys scripta,-46.635758,-23.458539
Trachemys scripta,-46.528961,-23.677469
Trachemys scripta,-45.885775,-23.168602
Trachemys scripta,-49.238068,-25.440381
Trachemys scripta,-51.152117,-29.795514
Trachemys scripta,-46.622405,-23.638907
Trachemys scripta,-46.619702,-23.63916
Trachemys scripta,-49.238073,-25.440378
Trachemys scripta,-46.394533,-23.971152
Trachemys scripta,-46.624454,-23.6415
Trachemys scripta,-46.620933,-23.639065
Trachemys scripta,-46.620933,-23.639065
Trachemys scripta,-46.408811,-23.67591
Trachemys scripta,-49.793046,-27.185632
Trachemys scripta,-46.534775,-23.647769
Trachemys scripta,-53.692408,-29.219488
Trachemys scripta,-46.530957,-23.456596
Trachemys scripta,-49.265198,-25.426898
Trachemys scripta,-46.624199,-23.647949
Trachemys scripta,-46.621053,-23.639068
Trachemys scripta,-47.824777,-21.211087
Trachemys scripta,-46.61969,-23.639281
Trachemys scripta,-46.621153,-23.639124
Trachemys scripta,-47.88379,-15.744459
Trachemys scripta,-47.883792,-15.744469
Trachemys scripta,-46.632373,-23.629817
Trachemys scripta,-43.224392,-22.970541
Trachemys scripta,-48.638735,-27.016279
Trachemys scripta,-49.050282,-26.854006
Trachemys scripta,-51.073988,-30.017313
Trachemys scripta,-43.690522,-22.7617
Trachemys scripta,-46.635864,-23.457653
Trachemys scripta,-47.0371,-22.815818
Trachemys scripta,-51.929313,-23.429001
Trachemys scripta,-49.283719,-25.396991
Trachemys scripta,-49.283719,-25.396991
Trachemys scripta,-47.055159,-22.954954
Trachemys scripta,-47.055271,-22.955277
Trachemys scripta,-46.531457,-23.674674
Trachemys scripta,-47.874855,-21.984853
Trachemys scripta,-46.640084,-23.458316
Trachemys scripta,-49.286515,-25.379533
Trachemys scripta,-49.286551,-25.37959
Trachemys scripta,-46.621432,-23.639107
Trachemys scripta,-49.227564,-25.391195
Trachemys scripta,-46.532676,-23.677243
Trachemys scripta,-49.731555,-29.341925
Trachemys scripta,-45.960932,-22.215341
Trachemys scripta,-46.529856,-23.676217
Trachemys scripta,-48.855481,-26.298089
Trachemys scripta,-48.855481,-26.298106
Trachemys scripta,-49.283661,-25.396873
Trachemys scripta,-51.218067,-30.036209
Trachemys scripta,-47.057088,-22.875228
Trachemys scripta,-46.62224,-23.639009
Trachemys scripta,-49.032374,-24.632876
Trachemys scripta,-47.014321,-24.369844
Trachemys scripta,-51.17914,-30.050697
Trachemys scripta,-46.620845,-23.638527
Trachemys scripta,-46.622727,-23.639391
Trachemys scripta,-50.157338,-30.006645
Trachemys scripta,-49.238746,-25.442823
Trachemys scripta,-46.621573,-23.639012
Trachemys scripta,-46.528878,-23.675155
Trachemys scripta,-49.731979,-29.34277
Trachemys scripta,-46.528762,-23.675295
Trachemys scripta,-47.021475,-22.904922
Trachemys scripta,-47.02,-22.903797
Trachemys scripta,-46.730888,-23.566755
Trachemys scripta,-46.519443,-23.495176
Trachemys scripta,-48.521857,-27.603923
Trachemys scripta,-49.459628,-28.875854
Trachemys scripta,-47.021469,-22.904947
Trachemys scripta,-51.157126,-29.794628
Trachemys scripta,-51.15735,-29.795478
Trachemys scripta,-46.636791,-23.457654
Trachemys scripta,-46.636791,-23.457654
Trachemys scripta,-51.074145,-30.017263
Trachemys scripta,-47.226235,-23.093659
Trachemys scripta,-49.238379,-25.440373
Trachemys scripta,-46.519442,-23.495176
Trachemys scripta,-51.156894,-29.795992
Trachemys scripta,-47.019933,-22.905314
Trachemys scripta,-47.020074,-22.903928
Trachemys scripta,-48.615265,-25.638851
Trachemys scripta,-44.930897,-23.115586
