Species,decimalLongitude,decimalLatitude
Trachemys scripta elegans,-41.609791,-22.224381
Trachemys scripta elegans,-46.730378,-23.566035
Trachemys scripta elegans,-46.619775,-23.639205
Trachemys scripta elegans,-46.621578,-23.638696
Trachemys scripta elegans,-46.622123,-23.63904
Trachemys scripta elegans,-48.456836,-27.611409
Trachemys scripta elegans,-46.621951,-23.639036
Trachemys scripta elegans,-51.177144,-30.051571
Trachemys scripta elegans,-51.177144,-30.051571
Trachemys scripta elegans,-48.271543,-18.941403
Trachemys scripta elegans,-46.62139,-23.63907
Trachemys scripta elegans,-46.635923,-23.457625
Trachemys scripta elegans,-46.695003,-23.474092
Trachemys scripta elegans,-51.176064,-23.364484
Trachemys scripta elegans,-51.526686,-29.148479
Trachemys scripta elegans,-46.621455,-23.638849
Trachemys scripta elegans,-46.6263,-23.639753
Trachemys scripta elegans,-46.528798,-23.677584
Trachemys scripta elegans,-51.179351,-30.050796
Trachemys scripta elegans,-46.621002,-23.639056
Trachemys scripta elegans,-46.621363,-23.639077
Trachemys scripta elegans,-46.620841,-23.639082
Trachemys scripta elegans,-49.238213,-25.440589
Trachemys scripta elegans,-46.619707,-23.639239
Trachemys scripta elegans,-46.621368,-23.639106
Trachemys scripta elegans,-46.621368,-23.63911
Trachemys scripta elegans,-49.086114,-26.913354000000002
Trachemys scripta elegans,-49.129071,-26.50869
Trachemys scripta elegans,-49.129071,-26.50869
Trachemys scripta elegans,-49.129071,-26.50869
Trachemys scripta elegans,-49.129071,-26.50869
Trachemys scripta elegans,-48.893377,-27.09978
Trachemys scripta elegans,-51.233131,-30.043105
Trachemys scripta elegans,-51.216075,-30.036767
Trachemys scripta elegans,-46.620976,-23.63908
Trachemys scripta elegans,-38.57119,-3.734416
Trachemys scripta elegans,-40.271998,-20.243021
Trachemys scripta elegans,-38.531966,-3.809233
Trachemys scripta elegans,-46.701618,-23.588875
Trachemys scripta elegans,-45.885775,-23.168602
Trachemys scripta elegans,-49.238068,-25.440381
Trachemys scripta elegans,-51.152117,-29.795514
Trachemys scripta elegans,-46.394533,-23.971152
Trachemys scripta elegans,-46.624454,-23.6415
Trachemys scripta elegans,-49.793046,-27.185632
Trachemys scripta elegans,-53.692408,-29.219488
Trachemys scripta elegans,-46.530957,-23.456596
Trachemys scripta elegans,-49.265198,-25.426898
Trachemys scripta elegans,-46.624199,-23.647949
Trachemys scripta elegans,-47.824777,-21.211087
Trachemys scripta elegans,-46.621153,-23.639124
Trachemys scripta elegans,-48.638735,-27.016279
Trachemys scripta elegans,-43.690522,-22.7617
Trachemys scripta elegans,-51.929313,-23.429001
Trachemys scripta elegans,-47.055271,-22.955277
Trachemys scripta elegans,-46.531457,-23.674674
Trachemys scripta elegans,-47.874855,-21.984853
Trachemys scripta elegans,-46.640084,-23.458316
Trachemys scripta elegans,-49.286515,-25.379533
Trachemys scripta elegans,-49.286551,-25.37959
Trachemys scripta elegans,-46.621432,-23.639107
Trachemys scripta elegans,-49.731555,-29.341925
Trachemys scripta elegans,-45.960932,-22.215341
Trachemys scripta elegans,-46.529856,-23.676217
Trachemys scripta elegans,-48.855481,-26.298089
Trachemys scripta elegans,-48.855481,-26.298106
Trachemys scripta elegans,-49.283661,-25.396873
Trachemys scripta elegans,-47.057088,-22.875228
Trachemys scripta elegans,-46.62224,-23.639009
Trachemys scripta elegans,-49.032374,-24.632876
Trachemys scripta elegans,-47.014321,-24.369844
Trachemys scripta elegans,-49.238746,-25.442823
Trachemys scripta elegans,-46.621573,-23.639012
Trachemys scripta elegans,-49.731979,-29.34277
Trachemys scripta elegans,-51.157126,-29.794628
Trachemys scripta elegans,-47.226235,-23.093659
Trachemys scripta elegans,-49.238379,-25.440373
Trachemys scripta elegans,-46.519442,-23.495176
Trachemys scripta elegans,-51.156894,-29.795992
Trachemys scripta elegans,-47.019933,-22.905314
Trachemys scripta elegans,-47.020074,-22.903928
Trachemys scripta elegans,-44.930897,-23.115586
Trachemys scripta elegans,-47.021866,-22.905131
Trachemys scripta elegans,-46.994529,-23.484365
Trachemys scripta elegans,-46.629692,-23.574167
Trachemys scripta elegans,-51.177875,-30.052307
Trachemys scripta elegans,-46.863051,-24.223408
Trachemys scripta elegans,-49.281993,-25.377937
Trachemys scripta elegans,-46.627016,-23.639265
Trachemys scripta elegans,-46.622369,-23.63896
Trachemys scripta elegans,-46.636879,-23.462685
Trachemys scripta elegans,-46.636879,-23.462685
Trachemys scripta elegans,-46.636879,-23.462685
Trachemys scripta elegans,-46.636879,-23.462685
Trachemys scripta elegans,-51.930624,-23.426208
Trachemys scripta elegans,-51.930627,-23.425519
Trachemys scripta elegans,-51.930611,-23.425313
Trachemys scripta elegans,-51.917725,-23.410886
Trachemys scripta elegans,-51.933056,-23.420999
Trachemys scripta elegans,-49.284269,-25.375725
Trachemys scripta elegans,-51.234894,-30.042758
Trachemys scripta elegans,-51.234903,-30.04275
Trachemys scripta elegans,-50.573257,-29.454216
Trachemys scripta elegans,-49.284505,-25.376895
Trachemys scripta elegans,-46.636879,-23.462685
Trachemys scripta elegans,-51.472758,-25.399991
Trachemys scripta elegans,-47.019222,-22.904405
Trachemys scripta elegans,-47.01955,-22.90351
Trachemys scripta elegans,-47.0195,-22.904285
Trachemys scripta elegans,-51.187569,-30.0538
Trachemys scripta elegans,-47.05243,-22.874732
Trachemys scripta elegans,-47.019523,-22.904235
Trachemys scripta elegans,-49.507154,-28.660293
Trachemys scripta elegans,-46.622124,-23.638824
Trachemys scripta elegans,-49.283492,-25.396903
Trachemys scripta elegans,-47.885072,-15.74334
Trachemys scripta elegans,-47.884031,-15.741634
Trachemys scripta elegans,-51.929702,-23.427564
Trachemys scripta elegans,-47.05474,-22.955073
Trachemys scripta elegans,-47.019478,-22.903618
Trachemys scripta elegans,-48.497943,-27.686283
Trachemys scripta elegans,-46.619772,-23.639307
Trachemys scripta elegans,-49.306247,-25.421771
Trachemys scripta elegans,-46.731114,-23.566441
Trachemys scripta elegans,-46.619898,-23.639155
Trachemys scripta elegans,-47.020182,-22.904627
Trachemys scripta elegans,-47.020243,-22.904598
Trachemys scripta elegans,-46.628206,-23.574477
Trachemys scripta elegans,-49.239843,-25.441624
Trachemys scripta elegans,-47.02194,-22.905397
Trachemys scripta elegans,-47.021098,-22.904863
Trachemys scripta elegans,-47.02147,-22.905175
Trachemys scripta elegans,-48.240325,-18.908965
Trachemys scripta elegans,-47.884327,-15.74173
Trachemys scripta elegans,-46.65904,-23.582315
Trachemys scripta elegans,-40.301757,-20.307966
Trachemys scripta elegans,-46.553633,-23.701805
Trachemys scripta elegans,-47.054558,-22.954933
Trachemys scripta elegans,-47.019473,-22.903582
Trachemys scripta elegans,-47.019442,-22.904443
Trachemys scripta elegans,-46.659271,-23.58757
Trachemys scripta elegans,-46.621212,-23.639156
Trachemys scripta elegans,-46.907891,-22.742062
Trachemys scripta elegans,-48.681643,-27.627365
Trachemys scripta elegans,-47.019678,-22.903515
Trachemys scripta elegans,-47.021412,-22.90477
Trachemys scripta elegans,-47.021447,-22.904993
Trachemys scripta elegans,-47.021873,-22.90524
Trachemys scripta elegans,-47.019687,-22.90552
Trachemys scripta elegans,-47.05701,-22.87503
Trachemys scripta elegans,-47.056375,-22.875748
Trachemys scripta elegans,-47.057188,-22.873885
Trachemys scripta elegans,-46.624711,-23.641628
Trachemys scripta elegans,-46.619672,-23.63916
Trachemys scripta elegans,-42.859259,-20.756967
Trachemys scripta elegans,-48.23884,-18.911143
