scientific_name,decimalLongitude,decimalLatitude
Trachydoras paraguayensis,-53.290556,-22.723056
Trachydoras paraguayensis,-53.290278,-22.723056
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.018333,-19.577222
Trachydoras paraguayensis,-57.038056,-19.576389
Trachydoras paraguayensis,-54.603333,-25.449722
Trachydoras paraguayensis,-53.290556,-22.723056
Trachydoras paraguayensis,-54.603333,-25.449722
Trachydoras paraguayensis,-51.711906,-21.084075
Trachydoras paraguayensis,-51.580694,-22.690194
Trachydoras paraguayensis,-57.018056,-19.576667
Trachydoras paraguayensis,-52.481667,-21.689089
Trachydoras paraguayensis,-51.632111,-22.660222
Trachydoras paraguayensis,-54.603333,-25.449722
Trachydoras paraguayensis,-57.018056,-19.576667
Trachydoras paraguayensis,-57.018056,-19.576667
Trachydoras paraguayensis,-57.018056,-19.576667
Trachydoras paraguayensis,-54.910583,-2.359556
Trachydoras paraguayensis,-54.854167,-2.187806
Trachydoras paraguayensis,-57.018056,-19.576667
Trachydoras paraguayensis,-57.018056,-19.576667
Trachydoras paraguayensis,-54.456944,-25.650556
Trachydoras paraguayensis,-53.8856,-23.3606
Trachydoras paraguayensis,-54.1662,-23.9257
Trachydoras paraguayensis,-53.6491,-22.9867
Trachydoras paraguayensis,-53.7234,-23.2432
Trachydoras paraguayensis,-64.623611,-9.192778
Trachydoras paraguayensis,-64.623611,-9.192778
Trachydoras paraguayensis,-57.039639,-19.541417
Trachydoras paraguayensis,-53.537222,-22.794444
Trachydoras paraguayensis,-57.386111,-19.446389
Trachydoras paraguayensis,-54.468056,-25.638611
