scientific_name,decimalLongitude,decimalLatitude
Tradescantia fluminensis,-54.445472,-25.683653
Tradescantia fluminensis,-49.171524,-25.455333
Tradescantia fluminensis,-50.144112,-26.406915
Tradescantia fluminensis,-46.140545,-23.482263
Tradescantia fluminensis,-53.776836,-29.702321
Tradescantia fluminensis,-53.628098,-25.774022
Tradescantia fluminensis,-51.663947,-27.071236
Tradescantia fluminensis,-51.674337,-27.067991
Tradescantia fluminensis,-49.270379,-25.531117
Tradescantia fluminensis,-49.561913,-27.1722
Tradescantia fluminensis,-49.611847,-27.266067
Tradescantia fluminensis,-49.229942,-25.389651
Tradescantia fluminensis,-49.278921,-26.794102
Tradescantia fluminensis,-49.328744,-25.904843
Tradescantia fluminensis,-43.161914,-22.435305
Tradescantia fluminensis,-46.513701,-23.743972
Tradescantia fluminensis,-46.449089,-23.696006
Tradescantia fluminensis,-40.600697,-19.937097
Tradescantia fluminensis,-50.170851,-26.393712
Tradescantia fluminensis,-46.632956,-23.613036
Tradescantia fluminensis,-52.819558,-27.911817
Tradescantia fluminensis,-46.623108,-23.638262
Tradescantia fluminensis,-53.377358,-26.598942
Tradescantia fluminensis,-47.382216,-22.701941
Tradescantia fluminensis,-49.821216,-27.396947
Tradescantia fluminensis,-41.098683,-20.530363
Tradescantia fluminensis,-54.43709,-25.690871
Tradescantia fluminensis,-49.59383,-28.552231
Tradescantia fluminensis,-44.176855,-22.898453
Tradescantia fluminensis,-53.644417,-25.785662
Tradescantia fluminensis,-50.154197,-24.938144
Tradescantia fluminensis,-49.497629,-28.639047
Tradescantia fluminensis,-53.090797,-28.679243
Tradescantia fluminensis,-53.629671,-29.614005
Tradescantia fluminensis,-49.509426,-28.631947
Tradescantia fluminensis,-43.0118,-22.262036
Tradescantia fluminensis,-46.53792,-22.951151
Tradescantia fluminensis,-46.717222,-23.567202
Tradescantia fluminensis,-52.1288,-28.931291
Tradescantia fluminensis,-52.250633,-32.038377
Tradescantia fluminensis,-52.481948,-31.524753
Tradescantia fluminensis,-52.192866,-32.141534
Tradescantia fluminensis,-51.17517,-26.255175
Tradescantia fluminensis,-49.015419,-25.385124
Tradescantia fluminensis,-50.220833,-24.661667
Tradescantia fluminensis,-50.220833,-24.661667
Tradescantia fluminensis,-50.99585,-25.037525
Tradescantia fluminensis,-51.471528,-25.391907
Tradescantia fluminensis,-46.769767,-23.216598
Tradescantia fluminensis,-50.396793,-26.168084
Tradescantia fluminensis,-46.443607,-23.572465
Tradescantia fluminensis,-54.45668,-25.655967
Tradescantia fluminensis,-48.643378,-27.509431
Tradescantia fluminensis,-49.181689,-25.343493
Tradescantia fluminensis,-49.214057,-25.394505
Tradescantia fluminensis,-52.847267,-25.784481
Tradescantia fluminensis,-51.991525,-26.503625
Tradescantia fluminensis,-49.181678,-25.343532
Tradescantia fluminensis,-46.140673,-23.482224
Tradescantia fluminensis,-51.186417,-28.059497
Tradescantia fluminensis,-42.548361,-22.380572
Tradescantia fluminensis,-53.632768,-25.778187
Tradescantia fluminensis,-52.287031,-31.752064
Tradescantia fluminensis,-49.589217,-28.007319
Tradescantia fluminensis,-51.632853,-29.974736
Tradescantia fluminensis,-49.589283,-28.007292
Tradescantia fluminensis,-51.467575,-25.347505
Tradescantia fluminensis,-47.057784,-23.460748
Tradescantia fluminensis,-49.322517,-25.78758
Tradescantia fluminensis,-54.43768,-25.651963
Tradescantia fluminensis,-44.608722,-22.437889
Tradescantia fluminensis,-44.608722,-22.437417
Tradescantia fluminensis,-53.411667,-24.918889
Tradescantia fluminensis,-50.657082,-26.61884
Tradescantia fluminensis,-44.619136,-22.429837
Tradescantia fluminensis,-48.492425,-27.671285
Tradescantia fluminensis,-45.953929,-22.253725
Tradescantia fluminensis,-44.619167,-22.428889
Tradescantia fluminensis,-50.27755,-29.885507
Tradescantia fluminensis,-51.22548,-23.976084
Tradescantia fluminensis,-49.208235,-25.524028
Tradescantia fluminensis,-53.816103,-29.716078
Tradescantia fluminensis,-43.295193,-22.953733
Tradescantia fluminensis,-49.199488,-25.422977
Tradescantia fluminensis,-46.577951,-22.533155
Tradescantia fluminensis,-46.696831,-23.852713
Tradescantia fluminensis,-46.674047,-23.652458
Tradescantia fluminensis,-43.466389,-22.545
Tradescantia fluminensis,-43.011604,-22.262244
Tradescantia fluminensis,-43.28128,-22.955908
Tradescantia fluminensis,-51.207939,-25.429694
Tradescantia fluminensis,-46.582685,-23.429511
Tradescantia fluminensis,-52.639167,-32.116944
Tradescantia fluminensis,-51.063773,-29.901683
Tradescantia fluminensis,-46.227032,-23.338663
Tradescantia fluminensis,-53.717997,-29.538655
Tradescantia fluminensis,-49.303604,-25.414818
Tradescantia fluminensis,-49.408611,-25.596944
Tradescantia fluminensis,-49.322518,-25.787648
Tradescantia fluminensis,-46.342072,-23.678986
Tradescantia fluminensis,-46.860358,-23.726525
Tradescantia fluminensis,-46.304538,-23.785753
Tradescantia fluminensis,-47.314141,-22.779859
Tradescantia fluminensis,-46.620934,-23.639877
Tradescantia fluminensis,-53.171419,-27.956407
Tradescantia fluminensis,-51.459253,-29.793155
Tradescantia fluminensis,-49.788889,-28.612222
Tradescantia fluminensis,-49.788889,-28.612222
Tradescantia fluminensis,-49.788889,-28.612222
Tradescantia fluminensis,-49.788889,-28.612222
Tradescantia fluminensis,-46.623766,-23.578333
Tradescantia fluminensis,-46.7309,-23.631893
Tradescantia fluminensis,-49.280593,-25.497759
Tradescantia fluminensis,-49.099754,-26.919839
Tradescantia fluminensis,-44.608745,-22.437533
Tradescantia fluminensis,-52.258487,-32.073555
Tradescantia fluminensis,-52.503645,-31.612651
Tradescantia fluminensis,-50.283657,-24.798058
Tradescantia fluminensis,-46.697201,-22.977985
Tradescantia fluminensis,-49.992042,-24.798261
Tradescantia fluminensis,-51.152778,-29.139722
Tradescantia fluminensis,-48.523591,-27.614849
Tradescantia fluminensis,-52.154973,-32.177086
Tradescantia fluminensis,-46.7911,-23.614185
Tradescantia fluminensis,-49.134457,-26.933002
Tradescantia fluminensis,-43.008056,-22.448056
Tradescantia fluminensis,-51.18639,-28.059444
