Species,decimalLongitude,decimalLatitude
Tradescantia zebrina,-52.404392,-29.769193
Tradescantia zebrina,-49.304566,-16.65139
Tradescantia zebrina,-51.207015,-30.035066
Tradescantia zebrina,-40.723068,-20.838214
Tradescantia zebrina,-48.13033,-21.771618
Tradescantia zebrina,-46.432695,-23.693116
Tradescantia zebrina,-40.129936,-19.933104
Tradescantia zebrina,-46.622476,-23.65244
Tradescantia zebrina,-40.007327,-19.003139
Tradescantia zebrina,-54.575709,-25.504944
Tradescantia zebrina,-35.760301,-9.613264
Tradescantia zebrina,-46.568972,-21.772931
Tradescantia zebrina,-46.384533,-23.402737
Tradescantia zebrina,-46.633575,-23.596469
Tradescantia zebrina,-49.601362,-28.613563
Tradescantia zebrina,-35.138527,-7.932678
Tradescantia zebrina,-43.540213,-22.831408
Tradescantia zebrina,-49.224134,-25.500622
Tradescantia zebrina,-43.943314,-19.916819
Tradescantia zebrina,-49.349775,-25.416673
Tradescantia zebrina,-42.553278,-19.50298
Tradescantia zebrina,-47.146273,-22.937797
Tradescantia zebrina,-49.314725,-25.509191
Tradescantia zebrina,-49.314767,-25.509214
Tradescantia zebrina,-40.147836,-19.056499
Tradescantia zebrina,-47.421783,-24.66832
Tradescantia zebrina,-49.246668,-25.403515
Tradescantia zebrina,-49.317639,-25.505209
Tradescantia zebrina,-40.600288,-19.935933
Tradescantia zebrina,-40.599258,-19.936218
Tradescantia zebrina,-40.600032,-19.935797
Tradescantia zebrina,-40.600737,-19.937134
Tradescantia zebrina,-43.972147,-19.874897
Tradescantia zebrina,-46.639799,-23.476139
Tradescantia zebrina,-53.700504,-29.708357
Tradescantia zebrina,-44.00831,-19.858312
Tradescantia zebrina,-40.611388,-19.938654
Tradescantia zebrina,-49.219839,-25.436065
Tradescantia zebrina,-40.599462,-19.935648
Tradescantia zebrina,-38.945733,-12.264357
Tradescantia zebrina,-43.896565,-19.927424
Tradescantia zebrina,-43.89667,-19.926972
Tradescantia zebrina,-43.896631,-19.926036
Tradescantia zebrina,-46.637328,-23.664933
Tradescantia zebrina,-49.322925,-25.461187
Tradescantia zebrina,-46.411442,-23.482164
Tradescantia zebrina,-44.027734,-19.97809
Tradescantia zebrina,-40.601995,-19.931092
Tradescantia zebrina,-40.602275,-19.931133
Tradescantia zebrina,-46.463516,-23.572062
Tradescantia zebrina,-46.411442,-23.482163
Tradescantia zebrina,-46.411442,-23.482163
Tradescantia zebrina,-54.445299,-25.680952
Tradescantia zebrina,-46.855228,-23.617005
Tradescantia zebrina,-46.534149,-23.514215
Tradescantia zebrina,-46.533484,-23.514088
Tradescantia zebrina,-46.533489,-23.514256
Tradescantia zebrina,-46.658435,-23.585959
Tradescantia zebrina,-43.972169,-19.874327
Tradescantia zebrina,-48.406853,-27.443719
Tradescantia zebrina,-43.977722,-19.842607
Tradescantia zebrina,-46.651205,-23.489396
Tradescantia zebrina,-40.599611,-19.935834
Tradescantia zebrina,-43.972547,-19.873481
