scientific_name,decimalLongitude,decimalLatitude
Trichopodus trichopterus,-42.94934,-22.619702
Trichopodus trichopterus,-34.83854,-7.94179
Trichopodus trichopterus,-43.696389,-22.696917
Trichopodus trichopterus,-42.951944,-22.713056
Trichopodus trichopterus,-60.00147,-3.08394
Trichopodus trichopterus,-60.00157,-3.13386
Trichopodus trichopterus,-43.435692,-22.603522
Trichopodus trichopterus,-43.643083,-22.754194
Trichopodus trichopterus,-42.333332,-21.066668
Trichopodus trichopterus,-35.816667,-9.6
