scientific_name,decimalLongitude,decimalLatitude
Triportheus angulatus,-68.636655,-9.054482
Triportheus angulatus,-59.010278,-3.227222
Triportheus angulatus,-58.992778,-3.231944
Triportheus angulatus,-58.998611,-3.231389
Triportheus angulatus,-68.414037,-9.120365
Triportheus angulatus,-59.595833,-3.140833
Triportheus angulatus,-59.928333,-3.156111
Triportheus angulatus,-50.607778,-13.276389
Triportheus angulatus,-58.992778,-3.231944
Triportheus angulatus,-58.992778,-3.231944
Triportheus angulatus,-58.998611,-3.231389
Triportheus angulatus,-70.28372,-4.28785
Triportheus angulatus,-70.2859,-4.61246
Triportheus angulatus,-70.2625,-4.3705
Triportheus angulatus,-70.79331,-4.18496
Triportheus angulatus,-70.04502,-4.40676
Triportheus angulatus,-70.93625,-4.38461
Triportheus angulatus,-70.27379,-4.42373
Triportheus angulatus,-70.27035,-4.362825
Triportheus angulatus,-70.33637,-4.43606
Triportheus angulatus,-70.84589,-4.25267
Triportheus angulatus,-70.27035,-4.362825
Triportheus angulatus,-70.32405,-4.4506
Triportheus angulatus,-70.26267,-4.39533
Triportheus angulatus,-70.201389,-4.361111
Triportheus angulatus,-70.197778,-4.364722
Triportheus angulatus,-70.170833,-4.384167
Triportheus angulatus,-70.143611,-4.416944
Triportheus angulatus,-70.195556,-4.377222
Triportheus angulatus,-63.068889,-9.939167
Triportheus angulatus,-57.018056,-19.576667
Triportheus angulatus,-57.018056,-19.576667
Triportheus angulatus,-57.018056,-19.576667
Triportheus angulatus,-57.018056,-19.576667
Triportheus angulatus,-72.659444,-7.675556
Triportheus angulatus,-72.685278,-7.659444
Triportheus angulatus,-54.801944,-2.246111
Triportheus angulatus,-54.801944,-2.246111
Triportheus angulatus,-55.409722,-2.043056
Triportheus angulatus,-55.258333,-2.146944
Triportheus angulatus,-55.260944,-2.150389
Triportheus angulatus,-55.107139,-2.196083
Triportheus angulatus,-55.409722,-2.042944
Triportheus angulatus,-55.596944,-1.945278
Triportheus angulatus,-54.854167,-2.187806
Triportheus angulatus,-54.85775,-2.191472
Triportheus angulatus,-55.040278,-2.183333
Triportheus angulatus,-55.039722,-2.186111
Triportheus angulatus,-54.857778,-2.191389
Triportheus angulatus,-55.039806,-2.186083
Triportheus angulatus,-54.85775,-2.191472
Triportheus angulatus,-54.85775,-2.191472
Triportheus angulatus,-54.894611,-2.436778
Triportheus angulatus,-55.139197,-2.327789
Triportheus angulatus,-62.365103,-8.695333
Triportheus angulatus,-54.97566,-2.055769
Triportheus angulatus,-54.97566,-2.055769
Triportheus angulatus,-54.9001,-2.064269
Triportheus angulatus,-54.89069,-2.063642
Triportheus angulatus,-55.9606,-1.94023
Triportheus angulatus,-55.29282,-2.101648
Triportheus angulatus,-52.35675,-3.555056
Triportheus angulatus,-51.950889,-2.884861
Triportheus angulatus,-52.356667,-3.555
Triportheus angulatus,-51.781028,-3.579306
Triportheus angulatus,-51.76375,-3.559472
Triportheus angulatus,-62.201861,-8.837194
Triportheus angulatus,-54.54295,-2.509866
Triportheus angulatus,-54.54356,-2.506622
Triportheus angulatus,-54.73143,-1.978327
Triportheus angulatus,-54.72939,-1.974735
