scientific_name,decimalLongitude,decimalLatitude
Triportheus nematurus,-57.919817,-21.722352
Triportheus nematurus,-51.790953,-21.596653
Triportheus nematurus,-57.038333,-19.575833
Triportheus nematurus,-56.605333,-20.219917
Triportheus nematurus,-55.216667,-19.75
Triportheus nematurus,-53.218056,-22.724167
Triportheus nematurus,-57.018056,-19.576667
Triportheus nematurus,-56.975,-19.607778
Triportheus nematurus,-57.8275,-21.44667
Triportheus nematurus,-57.019722,-19.577778
Triportheus nematurus,-57.05389,-19.31667
Triportheus nematurus,-51.539139,-22.686333
Triportheus nematurus,-57.545,-21.496389
Triportheus nematurus,-54.573611,-18.711667
Triportheus nematurus,-54.743611,-18.558889
Triportheus nematurus,-54.185278,-19.345556
Triportheus nematurus,-57.018056,-19.576667
Triportheus nematurus,-57.018056,-19.576667
Triportheus nematurus,-57.018056,-19.576667
Triportheus nematurus,-57.018056,-19.576667
Triportheus nematurus,-57.018889,-19.5775
Triportheus nematurus,-50.9645,-23.225389
Triportheus nematurus,-50.9645,-23.225389
Triportheus nematurus,-50.9645,-23.225389
Triportheus nematurus,-50.9645,-23.225389
Triportheus nematurus,-51.0625,-20.561944
Triportheus nematurus,-57.017778,-19.576389
Triportheus nematurus,-56.150933,-19.577422
Triportheus nematurus,-56.153889,-19.571944
Triportheus nematurus,-47.821389,-21.611944
Triportheus nematurus,-47.864444,-15.718889
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.86,-23.07
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-50.859,-23.068
Triportheus nematurus,-49.931944,-18.806667
Triportheus nematurus,-38.35286,-7.476028
Triportheus nematurus,-57.366667,-19.433333
Triportheus nematurus,-57.366667,-19.366667
Triportheus nematurus,-57.303056,-19.405833
Triportheus nematurus,-57.394722,-19.518056
Triportheus nematurus,-57.728611,-18.978333
Triportheus nematurus,-57.386111,-19.446389
Triportheus nematurus,-37.35539,-6.377861
Triportheus nematurus,-37.35539,-6.377861
Triportheus nematurus,-37.35539,-6.377861
Triportheus nematurus,-37.35539,-6.377861
Triportheus nematurus,-39.910416,-6.541972
Triportheus nematurus,-39.910416,-6.541972
Triportheus nematurus,-39.910416,-6.541972
Triportheus nematurus,-55.774808,-14.875267
Triportheus nematurus,-55.649692,-14.815856
Triportheus nematurus,-55.371047,-14.835122
Triportheus nematurus,-54.475353,-25.631531
Triportheus nematurus,-54.475353,-25.631531
Triportheus nematurus,-51,-23.39
Triportheus nematurus,-50.53,-22.95
Triportheus nematurus,-50.53,-22.95
Triportheus nematurus,-50.53,-22.95
Triportheus nematurus,-50.53,-22.95
Triportheus nematurus,-51,-23.39
Triportheus nematurus,-50.53,-22.95
Triportheus nematurus,-50.996,-23.391
Triportheus nematurus,-50.996,-23.391
Triportheus nematurus,-50.528,-22.953
