scientific_name,decimalLongitude,decimalLatitude
Triportheus signatus,-47.5304851,-21.7976044
Triportheus signatus,-47.7981443,-22.6713224
Triportheus signatus,-45.146111,-3.491111
Triportheus signatus,-45.146111,-3.491111
Triportheus signatus,-38.138056,-7.303056
Triportheus signatus,-44.614083,-3.880444
Triportheus signatus,-44.614083,-3.880444
Triportheus signatus,-44.614083,-3.880444
Triportheus signatus,-45.323333,-2.263611
Triportheus signatus,-45.323333,-2.263611
Triportheus signatus,-49.656432,-21.580077
Triportheus signatus,-47.656111,-22.720833
Triportheus signatus,-48.684444,-22.190556
Triportheus signatus,-48.180833,-22.6325
Triportheus signatus,-45.968056,-8.976667
Triportheus signatus,-47.5,-5.733889
Triportheus signatus,-47.651944,-4.681944
Triportheus signatus,-46.420556,-3.950556
Triportheus signatus,-47.651944,-4.681944
Triportheus signatus,-46.453056,-5.034167
Triportheus signatus,-46.350556,-4.283889
Triportheus signatus,-45.898611,-4.426667
Triportheus signatus,-47.102222,-5.309167
Triportheus signatus,-46.125556,-4.739167
Triportheus signatus,-46.420556,-3.950556
Triportheus signatus,-46.246111,-4.039444
Triportheus signatus,-45.605,-4.057222
Triportheus signatus,-48.131111,-23.195972
Triportheus signatus,-37.326667,-5.187222
Triportheus signatus,-36.945,-5.534722
Triportheus signatus,-44.405278,-3.5275
Triportheus signatus,-43.465,-4.735833
Triportheus signatus,-43.4125,-5.045556
Triportheus signatus,-44.5675,-7.236389
Triportheus signatus,-39.384167,-6.454444
Triportheus signatus,-44.647222,-10.244722
Triportheus signatus,-44.647222,-10.244722
Triportheus signatus,-44.489722,-10.165833
Triportheus signatus,-51.285278,-22.390278
Triportheus signatus,-45.6675,-2.943889
Triportheus signatus,-45.466389,-3.66
Triportheus signatus,-43.878887,-4.453889
Triportheus signatus,-42.970833,-5.477222
Triportheus signatus,-46.55,-23.466667
Triportheus signatus,-42.066667,-5.933333
Triportheus signatus,-49.983333,-22.9
Triportheus signatus,-42.833333,-5.083333
Triportheus signatus,-44.816667,-5.033333
Triportheus signatus,-35.167859,-6.116627
Triportheus signatus,-38.912979,-6.238469
Triportheus signatus,-47.4686,-1.16875
Triportheus signatus,-42.83,-5.09
Triportheus signatus,-48.518056,-22.532222
Triportheus signatus,-43.591667,-6.859722
Triportheus signatus,-43.564722,-6.762222
