Species,decimalLongitude,decimalLatitude
Tropidurus hispidus ,-39.465672,-11.393537
Tropidurus hispidus ,-34.890895,-8.067231
Tropidurus hispidus ,-38.392137,-3.847442
Tropidurus hispidus ,-34.836359,-7.106157
Tropidurus hispidus ,-36.63172,-9.40776
Tropidurus hispidus ,-40.916116,-5.141835
Tropidurus hispidus ,-35.875262,-9.820035
Tropidurus hispidus ,-38.898072,-6.690449
Tropidurus hispidus ,-42.776865,-5.038121
Tropidurus hispidus ,-35.005717,-8.506628
Tropidurus hispidus ,-35.005717,-8.506628
Tropidurus hispidus ,-36.352153,-5.940245
Tropidurus hispidus ,-38.487952,-3.808714
Tropidurus hispidus ,-38.413167,-12.940483
Tropidurus hispidus ,-35.903087,-9.846782
Tropidurus hispidus ,-35.004568,-8.077285
Tropidurus hispidus ,-37.249217,-8.497259
Tropidurus hispidus ,-39.282683,-6.370891
Tropidurus hispidus ,-34.882897,-8.057838
Tropidurus hispidus ,-34.882897,-8.057838
Tropidurus hispidus ,-34.882897,-8.057838
Tropidurus hispidus ,-36.016617,-5.71575
Tropidurus hispidus ,-34.983897,-8.446158
Tropidurus hispidus ,-38.726893,-3.807581
Tropidurus hispidus ,-59.878113,-3.02218
Tropidurus hispidus ,-35.166772,-8.932867
Tropidurus hispidus ,-45.051462,-2.539128
Tropidurus hispidus ,-35.714101,-6.967517
Tropidurus hispidus ,-36.479233,-8.887864
Tropidurus hispidus ,-36.012669,-7.194766
Tropidurus hispidus ,-37.285558,-11.085039
Tropidurus hispidus ,-35.003046,-8.486096
Tropidurus hispidus ,-35.005717,-8.506628
Tropidurus hispidus ,-35.109928,-7.407547
Tropidurus hispidus ,-35.722434,-9.604667
Tropidurus hispidus ,-61.724695,3.797946
Tropidurus hispidus ,-61.724695,3.797946
Tropidurus hispidus ,-34.871133,-7.118916
Tropidurus hispidus ,-35.100281,-8.120024
Tropidurus hispidus ,-35.22038,-7.0861
Tropidurus hispidus ,-47.178873,-1.192217
Tropidurus hispidus ,-38.434075,-12.929576
Tropidurus hispidus ,-36.488793,-8.891218
Tropidurus hispidus ,-35.690028,-9.613041
Tropidurus hispidus ,-37.906514,-9.539733
Tropidurus hispidus ,-35.198805,-8.09433
Tropidurus hispidus ,-37.386586,-7.261632
Tropidurus hispidus ,-39.312803,-6.379687
Tropidurus hispidus ,-59.983655,-3.129262
Tropidurus hispidus ,-59.983655,-3.129262
Tropidurus hispidus ,-35.908587,-9.836898
Tropidurus hispidus ,-35.223515,-5.930694
Tropidurus hispidus ,-34.925945,-8.036174
Tropidurus hispidus ,-38.714254,-4.217854
Tropidurus hispidus ,-37.337904,-5.217385
Tropidurus hispidus ,-37.322905,-5.204795
Tropidurus hispidus ,-35.001983,-8.486062
Tropidurus hispidus ,-47.055698,-1.734136
Tropidurus hispidus ,-38.441176,-3.794756
Tropidurus hispidus ,-38.713721,-4.217994
Tropidurus hispidus ,-58.438122,-3.149133
Tropidurus hispidus ,-38.59198,-6.576843
Tropidurus hispidus ,-34.873215,-7.108762
Tropidurus hispidus ,-35.2013,-8.078421
Tropidurus hispidus ,-36.031455,-9.153618
Tropidurus hispidus ,-35.201731,-5.890748
Tropidurus hispidus ,-37.576637,-7.722987
Tropidurus hispidus ,-36.633732,-9.411334
Tropidurus hispidus ,-34.871435,-7.119532
Tropidurus hispidus ,-38.989746,-6.757326
Tropidurus hispidus ,-38.890721,-4.231715
Tropidurus hispidus ,-35.111217,-7.407397
Tropidurus hispidus ,-38.866195,-3.628697
Tropidurus hispidus ,-44.308184,-2.553291
Tropidurus hispidus ,-38.484968,-3.749647
Tropidurus hispidus ,-60.102992,-3.062315
Tropidurus hispidus ,-38.49746,-3.805577
Tropidurus hispidus ,-38.866195,-3.628697
Tropidurus hispidus ,-35.724157,-9.608922
Tropidurus hispidus ,-35.690066,-9.613132
Tropidurus hispidus ,-51.050283,0.030715
Tropidurus hispidus ,-34.860533,-7.136127
Tropidurus hispidus ,-35.33833,-8.005111
Tropidurus hispidus ,-38.577182,-3.746091
Tropidurus hispidus ,-38.577182,-3.746091
Tropidurus hispidus ,-38.989232,-6.757097
Tropidurus hispidus ,-38.490094,-3.724469
Tropidurus hispidus ,-38.897133,-3.506889
Tropidurus hispidus ,-38.897133,-3.506889
Tropidurus hispidus ,-35.690023,-9.613009
Tropidurus hispidus ,-36.025723,-9.155604
Tropidurus hispidus ,-38.509705,-3.721001
Tropidurus hispidus ,-60.73557,2.826779
Tropidurus hispidus ,-38.119275,-4.150029
Tropidurus hispidus ,-35.737104,-9.636657
Tropidurus hispidus ,-38.683649,-4.033537
Tropidurus hispidus ,-39.563621,-15.390518
Tropidurus hispidus ,-59.975139,-2.9298
Tropidurus hispidus ,-36.328169,-7.112015
Tropidurus hispidus ,-51.056096,0.040521
Tropidurus hispidus ,-51.056096,0.040521
Tropidurus hispidus ,-40.212258,-3.093678
Tropidurus hispidus ,-35.166868,-5.883917
Tropidurus hispidus ,-35.167592,-5.883741
Tropidurus hispidus ,-61.719831,3.786945
Tropidurus hispidus ,-35.579926,-5.236107
Tropidurus hispidus ,-38.413609,-12.948376
Tropidurus hispidus ,-38.413167,-12.948822
Tropidurus hispidus ,-60.089556,-3.048214
Tropidurus hispidus ,-60.350592,3.978061
Tropidurus hispidus ,-37.457386,-5.08366
Tropidurus hispidus ,-36.037139,-5.14021
Tropidurus hispidus ,-35.978778,-7.041966
Tropidurus hispidus ,-36.007639,-7.112681
Tropidurus hispidus ,-35.156861,-7.295853
Tropidurus hispidus ,-39.313906,-6.379334
Tropidurus hispidus ,-38.413039,-12.949081
Tropidurus hispidus ,-61.140728,1.812946
Tropidurus hispidus ,-35.724157,-9.608922
Tropidurus hispidus ,-34.954716,-8.321588
Tropidurus hispidus ,-34.954695,-8.32161
Tropidurus hispidus ,-36.088365,-9.169896
Tropidurus hispidus ,-38.527013,-3.73272
Tropidurus hispidus ,-38.527013,-3.73272
Tropidurus hispidus ,-38.527013,-3.73272
Tropidurus hispidus ,-38.527013,-3.73272
Tropidurus hispidus ,-38.989761,-6.757348
