Species,decimalLongitude,decimalLatitude
Ulex europaeus,-50.523195,-29.433572
Ulex europaeus,-49.961736,-29.066885
Ulex europaeus,-50.086639,-29.057574
Ulex europaeus,-50.327903,-27.835438
Ulex europaeus,-49.993903,-29.069975
Ulex europaeus,-50.484434,-29.419579
Ulex europaeus,-50.458359,-29.407259
Ulex europaeus,-50.409675,-29.392421
Ulex europaeus,-50.366453,-29.396866
Ulex europaeus,-50.174486,-29.480646
Ulex europaeus,-50.449195,-29.400447
Ulex europaeus,-49.959644,-29.066614
Ulex europaeus,-49.237587,-25.447152
Ulex europaeus,-49.95958,-29.06658
Ulex europaeus,-50.581575,-29.447501
Ulex europaeus,-50.921171,-28.495992
Ulex europaeus,-53.331218,-33.472586
Ulex europaeus,-49.164167,-25.521667
Ulex europaeus,-49.164167,-25.521667
Ulex europaeus,-49.876672,-27.954539
Ulex europaeus,-51.163333,-29.130278
Ulex europaeus,-49.312201,-25.438037
Ulex europaeus,-45.551547,-22.701017
Ulex europaeus,-51.759722,-29.085556
Ulex europaeus,-51.081252,-29.117559
Ulex europaeus,29,50
Ulex europaeus,-50.873889,-29.378889
Ulex europaeus,-50.283771,-27.776212
Ulex europaeus,-49.359298,-25.473724
Ulex europaeus,-50.486683,-29.222658
Ulex europaeus,-50.139375,-29.04108
Ulex europaeus,-49.356111,-26.24
Ulex europaeus,-49.356111,-26.24
Ulex europaeus,-45.42,-22.801944
Ulex europaeus,-49.929722,-28.296667
Ulex europaeus,-49.929722,-28.296667
Ulex europaeus,-49.988611,-29.072222
Ulex europaeus,-44.16625,-22.038583
Ulex europaeus,-50.045556,-29.165
Ulex europaeus,-50.045555,-29.165
Ulex europaeus,-50.045555,-29.165
Ulex europaeus,-45.557694,-22.754639
Ulex europaeus,-49.86,-27.9
Ulex europaeus,-49.86,-27.9
Ulex europaeus,-49.918611,-28.275833
Ulex europaeus,-49.918611,-28.275833
Ulex europaeus,-49.918611,-28.275833
Ulex europaeus,-49.918611,-28.275833
Ulex europaeus,-49.163444,-25.532972
Ulex europaeus,-49.163444,-25.532972
Ulex europaeus,-49.769167,-28.260556
Ulex europaeus,-49.769167,-28.260556
Ulex europaeus,-49.769167,-28.260556
Ulex europaeus,-49.6247,-28.3369
Ulex europaeus,-49.266667,-25.416667
Ulex europaeus,-49.266667,-25.416667
Ulex europaeus,-49.183333,-25.516667
Ulex europaeus,-49.183333,-25.516667
Ulex europaeus,-51.1,-29.1
Ulex europaeus,-51.16,-29.1769
Ulex europaeus,-51.1799547,-29.1722202
Ulex europaeus,-51.1,-29.1
Ulex europaeus,-49.950556,-29.197222
Ulex europaeus,-49.950556,-29.197222
Ulex europaeus,-49.931944,-28.294444
Ulex europaeus,-49.931944,-28.294444
Ulex europaeus,-50.4,-28.699722
Ulex europaeus,-50.144167,-29.047778
Ulex europaeus,-47.55,-22.566667
Ulex europaeus,-47.55,-22.566667
Ulex europaeus,-51.1799547,-29.1722202
Ulex europaeus,-51.015556,-30.276667
Ulex europaeus,-52.8731,-10.8339
Ulex europaeus,-45.5,-22.75
Ulex europaeus,-53.586108,-31.732966
Ulex europaeus,-45.5,-22.751389
Ulex europaeus,-51.350083,-29.216889
Ulex europaeus,-51.328056,-30.101167
Ulex europaeus,-51.328056,-30.101167
Ulex europaeus,-45.5914,-22.7394
Ulex europaeus,-50.575556,-29.420556
Ulex europaeus,-52.342222,-31.771944
Ulex europaeus,-51.156581,-29.157475
Ulex europaeus,-50.326389,-27.816389
Ulex europaeus,-50.326389,-27.816389
Ulex europaeus,-45.5914,-22.7394
Ulex europaeus,-45.5914,-22.7394
Ulex europaeus,-51.179167,-29.168333
Ulex europaeus,-51.179167,-29.168333
Ulex europaeus,-49.273056,-25.428056
Ulex europaeus,-49.2736973,-25.4319824
Ulex europaeus,-49.23766,-25.447303
