Species,decimalLongitude,decimalLatitude
Urena lobata,-55.867927,-20.830897
Urena lobata,-49.038946,-5.36991
Urena lobata,-54.306831,-20.054907
Urena lobata,-56.082083,-9.844735
Urena lobata,-44.316757,-2.9823210000000002
Urena lobata,-47.050281,-1.73516
Urena lobata,-43.405543,-22.762817
Urena lobata,-57.617363,-19.294433
Urena lobata,-41.287772,-21.761378
Urena lobata,-41.298004,-21.738662
Urena lobata,-67.874504,-9.953411
Urena lobata,-49.593776,-3.790229
Urena lobata,-49.593786,-3.790221
Urena lobata,-49.593777,-3.790229
Urena lobata,-49.593794,-3.790218
Urena lobata,-43.423889,-20.413056
Urena lobata,-41.287164,-21.760472
Urena lobata,-44.542519,-22.440276
Urena lobata,-44.542269,-22.440539
Urena lobata,-47.174565,-24.290777
Urena lobata,-35.223515,-5.930694
Urena lobata,-41.287892,-21.760928
Urena lobata,-48.478965,-27.660585
Urena lobata,-62.827131,-9.879059
Urena lobata,-40.33875,-20.36957
Urena lobata,-47.854042,-15.709678
Urena lobata,-40.535,-20.378889
Urena lobata,-40.535,-20.378889
Urena lobata,-42.94827,-22.931038
Urena lobata,-43.023889,-22.570556
Urena lobata,-43.029722,-22.576944
Urena lobata,-39.257364,-17.735463
Urena lobata,-40.130394,-19.072647
Urena lobata,-45.897637,-23.19768
Urena lobata,-39.1125,-12.998889
Urena lobata,-56.48,-16.7075
Urena lobata,-35.180153,-5.936753
Urena lobata,-41.059091,-21.582289
Urena lobata,-35.086389,-8.674167
Urena lobata,-42.042302,-20.962874
Urena lobata,-35.788611,-7.135
Urena lobata,-47.134521,-22.960221
Urena lobata,-38.524831,-3.884806
Urena lobata,-61.044167,1.949722
Urena lobata,-47.534168,-22.378681
Urena lobata,-44.063273,-20.148493
Urena lobata,-47.757615,-20.04511
Urena lobata,-63.012471,-9.955438
Urena lobata,-67.874747,-9.95697
Urena lobata,-67.870184,-9.955742
Urena lobata,-35.865991,-7.171095
Urena lobata,-68.450617,-10.599228
Urena lobata,-44.228247,-2.652705
Urena lobata,-45.068775,-23.447488
Urena lobata,-56.77331,-17.3642
Urena lobata,-43.980539,-2.876445
Urena lobata,-43.651936,-22.991719
