Species,decimalLongitude,decimalLatitude
Urochloa brizantha,-48.456944,-22.943056
Urochloa brizantha,-42.48,-13.139722
Urochloa brizantha,-44.1,-16.2
Urochloa brizantha,-40.32,-11.88
Urochloa brizantha,-62.275833,-13.080278
Urochloa brizantha,-48.757358,-26.618621
Urochloa brizantha,-47.660278,-15.603056
Urochloa brizantha,-47.660277,-15.603055
Urochloa brizantha,-47.810278,-15.873333
Urochloa brizantha,-47.795555,-15.798333
Urochloa brizantha,-48.124722,-15.519722
Urochloa brizantha,-53.703861,-29.710694
Urochloa brizantha,-34.833333,-7.088889
Urochloa brizantha,-41.465556,-12.463333
Urochloa brizantha,-48.633693,-26.85021
Urochloa brizantha,-48.633693,-26.85021
Urochloa brizantha,-47.907777,-15.744722
Urochloa brizantha,-47.907778,-15.744722
Urochloa brizantha,-48.636846,-26.863415
Urochloa brizantha,-47.922222,-15.729444
Urochloa brizantha,-43.862778,-21.71
Urochloa brizantha,-43.862778,-21.71
Urochloa brizantha,-52.099444,-29.319444
Urochloa brizantha,-41.799167,-12.755278
Urochloa brizantha,-46.729271,-23.302241
Urochloa brizantha,-49.5,-20.34
Urochloa brizantha,-49.86,-20.4
Urochloa brizantha,-47.16,-20.52
Urochloa brizantha,-48.871111,-26.82
Urochloa brizantha,-52.248056,-31.764167
Urochloa brizantha,-44.640006,-18.36
Urochloa brizantha,-47.16,-20.52
Urochloa brizantha,-49.5,-20.34
Urochloa brizantha,-48.01,-23.58
Urochloa brizantha,-47.7,-21.78
Urochloa brizantha,-47.34,-21.6
Urochloa brizantha,-47.857778,-15.951111
Urochloa brizantha,-47.34,-21.6
Urochloa brizantha,-48.06,-23.58
Urochloa brizantha,-47.7,-21.78
Urochloa brizantha,-47.7,-21.42
Urochloa brizantha,-48.06,-23.58
Urochloa brizantha,-47.700005,-21.780004
Urochloa brizantha,-44.64,-17.460011
Urochloa brizantha,-47.7,-21.78
Urochloa brizantha,-48.06,-23.58
Urochloa brizantha,-47.34,-21.6
Urochloa brizantha,-47.7,-21.42
Urochloa brizantha,-72.660971,-7.62118
Urochloa brizantha,-40.8125,-19.5275
Urochloa brizantha,-41.017778,-19.624444
Urochloa brizantha,-48.078944,-0.9895
Urochloa brizantha,-53.280556,-18.000556
Urochloa brizantha,-54.36,-16.56
Urochloa brizantha,-49.4475,-28.541389
Urochloa brizantha,-53.280556,-18.333333
Urochloa brizantha,-54.18,-17.64
Urochloa brizantha,-49.32,-16.02
Urochloa brizantha,-48.78,-15.66
Urochloa brizantha,-49.68,-16.38
Urochloa brizantha,-50.04,-16.56
Urochloa brizantha,-50.22,-16.38
Urochloa brizantha,-50.22,-16.74
Urochloa brizantha,-48.599444,-16.019444
Urochloa brizantha,-50.4,-16.38
Urochloa brizantha,-46.678408,-23.342508
Urochloa brizantha,-49.14,-15.3
Urochloa brizantha,-52.8306,-21.302799
Urochloa brizantha,-52.92,-21.96
Urochloa brizantha,-52.92,-21.42
Urochloa brizantha,-52.92,-21.42
Urochloa brizantha,-52.92,-21.42
Urochloa brizantha,-52.92,-21.42
Urochloa brizantha,-45,-18.180006
Urochloa brizantha,-54.72,-18.9
Urochloa brizantha,-53.1,-21.240001
Urochloa brizantha,-53.279722,-21.240003
Urochloa brizantha,-54.54,-18.899996
Urochloa brizantha,-54.18,-19.98
Urochloa brizantha,-54.539996,-19.62
Urochloa brizantha,-49.14,-15.12
Urochloa brizantha,-54.72,-21.42
Urochloa brizantha,-53.82,-21.78
Urochloa brizantha,-54.18,-21.42
Urochloa brizantha,-54,-21.6
Urochloa brizantha,-50.4,-16.02
Urochloa brizantha,-53.28,-16.199722
Urochloa brizantha,-53.82,-16.38
Urochloa brizantha,-54.899722,-17.099722
Urochloa brizantha,-54.899722,-17.099722
Urochloa brizantha,-53.82,-16.38
Urochloa brizantha,-53.64,-19.799987
Urochloa brizantha,-53.099999,-19.079996
Urochloa brizantha,-54,-21.06
Urochloa brizantha,-54.359444,-20.879444
Urochloa brizantha,-54.179722,-20.339996
Urochloa brizantha,-53.82,-20.160012
Urochloa brizantha,-54.72,-20.88
Urochloa brizantha,-54.359998,-19.799999
Urochloa brizantha,-53.639722,-19.439999
Urochloa brizantha,-53.46,-19.799722
Urochloa brizantha,-53.460014,-19.259999
Urochloa brizantha,-53.639722,-19.439999
Urochloa brizantha,-54.9,-19.979722
Urochloa brizantha,-50.220006,-17.099993
Urochloa brizantha,-50.04,-17.64
Urochloa brizantha,-52.92,-15.12
Urochloa brizantha,-53.1,-14.94
Urochloa brizantha,-53.28,-15.99
Urochloa brizantha,-55.8,-14.94
Urochloa brizantha,-52.92,-15.12
Urochloa brizantha,-52.92,-14.76
Urochloa brizantha,-53.28,-15.99
Urochloa brizantha,-55.08,-16.02
Urochloa brizantha,-53.1,-14.94
Urochloa brizantha,-51.12,-16.74
Urochloa brizantha,-51.552777,-16.199444
Urochloa brizantha,-51.839444,-16.199444
Urochloa brizantha,-37.414917,-10.640944
Urochloa brizantha,-52.56,-15.48
Urochloa brizantha,-53.46,-15.48
Urochloa brizantha,-53.46,-15.446667
Urochloa brizantha,-52.2,-15.66
Urochloa brizantha,-52.56,-15.48
Urochloa brizantha,-37.293611,-10.793889
Urochloa brizantha,-44.301667,-22.914444
Urochloa brizantha,-49.419444,-26.930278
Urochloa brizantha,-52.387222,-24.036667
Urochloa brizantha,-52.387111,-24.036694
Urochloa brizantha,-49.396944,-28.703056
Urochloa brizantha,-48.6,-9.899722
Urochloa brizantha,-47.34,-12.24
Urochloa brizantha,-37.059722,-10.888889
Urochloa brizantha,-39.5425,-14.771667
Urochloa brizantha,-39.5425,-14.771667
Urochloa brizantha,-39.5425,-14.771667
Urochloa brizantha,-39.5425,-14.771667
Urochloa brizantha,-37.206389,-11.014722
Urochloa brizantha,-37.351111,-11.029722
Urochloa brizantha,-39.393889,-12.971667
Urochloa brizantha,-39.523333,-12.771944
Urochloa brizantha,-39,-12
Urochloa brizantha,-39,-12
Urochloa brizantha,-37.031111,-10.575278
Urochloa brizantha,-37.053056,-10.965
Urochloa brizantha,-47.050556,-23.610333
Urochloa brizantha,-38.15,-12.15
Urochloa brizantha,-38.15,-12.033333
Urochloa brizantha,-39.5,-12.333333
Urochloa brizantha,-43.227222,-22.526667
Urochloa brizantha,-49.362222,-26.8625
Urochloa brizantha,-40.060278,-19.16
Urochloa brizantha,-40.060278,-19.16
Urochloa brizantha,-48.524722,-27.685
Urochloa brizantha,-50.237669,-29.902789
Urochloa brizantha,-34.920833,-7.920833
Urochloa brizantha,-47.539722,-22.146111
Urochloa brizantha,-47.91,-22.25
Urochloa brizantha,-37.840556,-11.373333
Urochloa brizantha,-37.840556,-11.373333
Urochloa brizantha,-37.657778,-11.373889
Urochloa brizantha,-48.814444,-23.003056
Urochloa brizantha,-37.657778,-11.373889
Urochloa brizantha,-37.278056,-9.917222
Urochloa brizantha,-37.700833,-10.360833
Urochloa brizantha,-37.083056,-9.9675
Urochloa brizantha,-37.040556,-10.470556
Urochloa brizantha,-37.278056,-9.917222
Urochloa brizantha,-37.700833,-10.360833
Urochloa brizantha,-37.083056,-9.9675
Urochloa brizantha,-37.018611,-10.281667
Urochloa brizantha,-39.600278,-17.460278
Urochloa brizantha,-39.599722,-17.460556
Urochloa brizantha,-39.780278,-17.999444
Urochloa brizantha,-37.419722,-10.103611
Urochloa brizantha,-37.190278,-10.491944
Urochloa brizantha,-37.3175,-10.821944
Urochloa brizantha,-37.419861,-10.1035
Urochloa brizantha,-40.320278,-13.319444
Urochloa brizantha,-50.194722,-29.838611
Urochloa brizantha,-50.194681,-29.838611
Urochloa brizantha,-37.143611,-10.843056
Urochloa brizantha,-37.143611,-10.843056
Urochloa brizantha,-47.148433,-22.207322
Urochloa brizantha,-50.099167,-17.785555
Urochloa brizantha,-50.038055,-17.4925
Urochloa brizantha,-43.589444,-20.461389
Urochloa brizantha,-43.139444,-20.384444
Urochloa brizantha,-45.166389,-22.602778
Urochloa brizantha,-57.651444,-16.068889
Urochloa brizantha,-51.363055,-30.529444
Urochloa brizantha,-51.363056,-30.529444
Urochloa brizantha,-37.620556,-11.146944
Urochloa brizantha,-48.527222,-27.627778
Urochloa brizantha,-47.968611,-15.701111
Urochloa brizantha,-51.359722,-30.522778
Urochloa brizantha,-37.206389,-11.014722
Urochloa brizantha,-37.206389,-11.014722
Urochloa brizantha,-46.511111,-22.8375
Urochloa brizantha,-46.511111,-22.8375
Urochloa brizantha,-47.416667,-21.816667
Urochloa brizantha,-44.046111,-19.826944
Urochloa brizantha,-57.315444,-15.581722
Urochloa brizantha,-57.786222,-16.074194
Urochloa brizantha,-58.029467,-16.133628
Urochloa brizantha,-57.83175,-16.062361
Urochloa brizantha,-46.956583,-23.829722
Urochloa brizantha,-53.25,-22.716667
Urochloa brizantha,-38.966667,-12.25
Urochloa brizantha,-38.966667,-12.25
Urochloa brizantha,-64.606111,-9.311667
Urochloa brizantha,-41.787222,-13.083333
Urochloa brizantha,-46.625139,-23.643111
Urochloa brizantha,-57.696389,-19.100556
Urochloa brizantha,-48.733333,-22.8
Urochloa brizantha,-54.643333,-20.569722
Urochloa brizantha,-54.843333,-20.754722
Urochloa brizantha,-54.843333,-20.754722
Urochloa brizantha,-54.215833,-23.352222
Urochloa brizantha,-54.209722,-23.588055
Urochloa brizantha,-54.317778,-23.883333
Urochloa brizantha,-47.039167,-22.876944
Urochloa brizantha,-39.116667,-13.816667
Urochloa brizantha,-54.608056,-20.496667
Urochloa brizantha,-39.116667,-13.816667
Urochloa brizantha,-49.020833,-15.108611
Urochloa brizantha,-39.565278,-15.391667
Urochloa brizantha,-47.872778,-15.949722
Urochloa brizantha,-53.2575,-22.769167
Urochloa brizantha,-54.613333,-20.509167
Urochloa brizantha,-57.624917,-16.030944
Urochloa brizantha,-57.624917,-16.030944
Urochloa brizantha,-57.624917,-16.030944
Urochloa brizantha,-57.624917,-16.030944
Urochloa brizantha,-57.624917,-16.030944
Urochloa brizantha,-57.624917,-16.030944
Urochloa brizantha,-54.613333,-20.509167
Urochloa brizantha,-53.2575,-22.769167
Urochloa brizantha,-51.017222,-30.069722
Urochloa brizantha,-47.816667,-15.85
Urochloa brizantha,-53.2575,-22.769167
Urochloa brizantha,-39.116667,-13.816667
Urochloa brizantha,-57.578361,-19.14925
Urochloa brizantha,-57.578333,-19.149167
Urochloa brizantha,-57.578361,-19.14925
