scientific_name,decimalLongitude,decimalLatitude
Urochloa dictyoneura,-48.757186,-26.618698
Urochloa dictyoneura,-57.735278,-21.638611
Urochloa dictyoneura,-50.306111,-27.7925
Urochloa dictyoneura,-43.679722,-22.783056
Urochloa dictyoneura,-43.679722,-22.780556
Urochloa dictyoneura,-50.94,-16.56
Urochloa dictyoneura,-50.94,-16.56
Urochloa dictyoneura,-52.92,-21.42
Urochloa dictyoneura,-39.043333,-12.601944
Urochloa dictyoneura,-39.043333,-12.601944
Urochloa dictyoneura,-38.628333,-12.293333
Urochloa dictyoneura,-38.628333,-12.293333
Urochloa dictyoneura,-44.307944,-2.56125
Urochloa dictyoneura,-44.307944,-2.56125
Urochloa dictyoneura,-34.920833,-7.920833
Urochloa dictyoneura,-37.657778,-11.373889
Urochloa dictyoneura,-37.657778,-11.373889
Urochloa dictyoneura,-37.148333,-10.688611
Urochloa dictyoneura,-54.861389,-2.864444
Urochloa dictyoneura,-54.861389,-2.531111
Urochloa dictyoneura,-37.148333,-10.688611
Urochloa dictyoneura,-54.861389,-2.531111
Urochloa dictyoneura,-57.063889,-19.251389
Urochloa dictyoneura,-47.189006,-22.259161
Urochloa dictyoneura,-53.270667,-22.7611
Urochloa dictyoneura,-41.382222,-12.573889
Urochloa dictyoneura,-57.016667,-19.502778
Urochloa dictyoneura,-57.980333,-16.131139
Urochloa dictyoneura,-57.314222,-16.582417
Urochloa dictyoneura,-58.028972,-16.132333
Urochloa dictyoneura,-48.859722,-16.956667
Urochloa dictyoneura,-48.859722,-16.956667
Urochloa dictyoneura,-54.419722,-21.567778
Urochloa dictyoneura,-54.419722,-21.567833
Urochloa dictyoneura,-54.419722,-21.567778
Urochloa dictyoneura,-54.843889,-20.756389
Urochloa dictyoneura,-54.343611,-20.756111
Urochloa dictyoneura,-53.2575,-22.769167
Urochloa dictyoneura,-44.62,-3.265
Urochloa dictyoneura,-48.778611,-27.688056
Urochloa dictyoneura,-53.2575,-22.769167
Urochloa dictyoneura,-41.34,-11.506944
Urochloa dictyoneura,-41.331111,-11.497778
Urochloa dictyoneura,-54.398055,-20.586667
Urochloa dictyoneura,-39.254167,-17.215014
Urochloa dictyoneura,-39.233333,-17.215
Urochloa dictyoneura,-54.226667,-20.522222
Urochloa dictyoneura,-54.226667,-20.5225
Urochloa dictyoneura,-51.769167,-17.076944
Urochloa dictyoneura,-48.48,-27.592222
Urochloa dictyoneura,-47.428333,-6.632778
Urochloa dictyoneura,-48.48,-27.592222
Urochloa dictyoneura,-48.48,-27.592222
Urochloa dictyoneura,-47.428333,-6.632778
Urochloa dictyoneura,-54.676944,-20.423889
Urochloa dictyoneura,-54.676944,-20.423889
Urochloa dictyoneura,-41.945,-22.526944
Urochloa dictyoneura,-54.777778,-2.426667
Urochloa dictyoneura,-43.518611,-7.083611
Urochloa dictyoneura,-37.438056,-11.268611
Urochloa dictyoneura,-37.438056,-11.268611
Urochloa dictyoneura,-59.95,2.366667
Urochloa dictyoneura,-59.95,-2.37
Urochloa dictyoneura,-56.683333,-16.45
Urochloa dictyoneura,-59.95,-2.366667
Urochloa dictyoneura,-39.4,-17.8875
Urochloa dictyoneura,-39.4,-17.8875
Urochloa dictyoneura,-51.066667,0.066667
Urochloa dictyoneura,-51.072189,0.113136
Urochloa dictyoneura,-51.06667,0.06667
Urochloa dictyoneura,-47.86667,-6.7
Urochloa dictyoneura,-46.08,-3.12
Urochloa dictyoneura,-46.08,-3.12
Urochloa dictyoneura,-46.08333,-3.11666
Urochloa dictyoneura,-61.45,3.283333
Urochloa dictyoneura,-61.466667,3.333333
Urochloa dictyoneura,-61.45,3.283333
Urochloa dictyoneura,-61.466667,3.333333
Urochloa dictyoneura,-61.466667,3.333333
Urochloa dictyoneura,-47.887222,-15.938333
Urochloa dictyoneura,-47.929444,-15.779722
Urochloa dictyoneura,-47.9298727,-15.7834208
Urochloa dictyoneura,-50.17,-8.05
Urochloa dictyoneura,-50.166667,-8.05
Urochloa dictyoneura,-50.170833,-8.072222
Urochloa dictyoneura,-63.166667,-7.516667
Urochloa dictyoneura,-63.166667,-7.516667
Urochloa dictyoneura,-47.077171,-22.870251
Urochloa dictyoneura,-48.48,-27.592222
Urochloa dictyoneura,-50.941944,-30.028611
Urochloa dictyoneura,-60.08,-2.316667
Urochloa dictyoneura,-50.17,-8.05
Urochloa dictyoneura,-63.17,-7.516667
