Species,decimalLongitude,decimalLatitude
Urochloa eminii,-48.656921,-26.895407
Urochloa eminii,-49.152835,-28.268864
Urochloa eminii,-43.9275,-20.257222
Urochloa eminii,-48.846374,-26.304376
Urochloa eminii,-49.28,-25.298333
Urochloa eminii,-49.28,-25.298333
Urochloa eminii,-49.680027,-29.230501
Urochloa eminii,-48.63668,-26.832978
Urochloa eminii,-40.971111,-3.688889
Urochloa eminii,-48.94649,-26.929442
Urochloa eminii,-48.989083,-27.086872
Urochloa eminii,-48.757358,-26.619082
Urochloa eminii,-38.534046,-7.041851
Urochloa eminii,-38.534046,-7.041851
Urochloa eminii,-40.775278,-19.170556
Urochloa eminii,-40.775278,-19.170556
Urochloa eminii,-47.665278,-15.596111
Urochloa eminii,-48.124722,-15.519722
Urochloa eminii,-47.665278,-15.596111
Urochloa eminii,-47.665277,-15.596111
Urochloa eminii,-38.657762,-6.974423
Urochloa eminii,-38.361018,-6.454951
Urochloa eminii,-38.654837,-6.949666
Urochloa eminii,-38.954896,-6.780928
Urochloa eminii,-49.231803,-25.447622
Urochloa eminii,-48.989595,-27.087428
Urochloa eminii,-43.426111,-20.244444
Urochloa eminii,-48.809525,-28.446783
Urochloa eminii,-48.633693,-26.85021
Urochloa eminii,-48.636846,-26.863415
Urochloa eminii,-47.922222,-15.729444
Urochloa eminii,-47.922222,-15.729444
Urochloa eminii,-43.868889,-21.655
Urochloa eminii,-43.868889,-21.655
Urochloa eminii,-44.157778,-20.542222
Urochloa eminii,-44.039722,-19.593056
Urochloa eminii,-49.23766,-25.447303
Urochloa eminii,-48.640294,-26.879819
Urochloa eminii,-47.905556,-15.74
Urochloa eminii,-47.905555,-15.74
Urochloa eminii,-47.905556,-15.74
Urochloa eminii,-47.94,-15.725556
Urochloa eminii,-47.94,-15.725555
Urochloa eminii,-51.004937,-24.138961
Urochloa eminii,-48.759567,-28.371368
Urochloa eminii,-54.566667,-20.45
Urochloa eminii,-54.565,-20.455278
Urochloa eminii,-39.519139,-7.19325
Urochloa eminii,-49.348505,-25.443955
Urochloa eminii,-44.988055,-17.350833
Urochloa eminii,-49.134442,-26.922344
Urochloa eminii,-47.774167,-15.818056
Urochloa eminii,-50.306111,-27.7925
Urochloa eminii,-48.78,-15.66
Urochloa eminii,-50.22,-16.74
Urochloa eminii,-48.78,-16.2
Urochloa eminii,-54.9,-16.56
Urochloa eminii,-48.78,-15.66
Urochloa eminii,-50.22,-16.74
Urochloa eminii,-48.78,-16.2
Urochloa eminii,-52.92,-21.42
Urochloa eminii,-53.64,-20.34
Urochloa eminii,-53.64,-19.44
Urochloa eminii,-54.18,-20.88
Urochloa eminii,-53.64,-20.34
Urochloa eminii,-53.64,-19.44
Urochloa eminii,-54.18,-20.88
Urochloa eminii,-53.28,-15.12
Urochloa eminii,-53.28,-15.12
Urochloa eminii,-43.286944,-20.268333
Urochloa eminii,-43.286944,-20.268333
Urochloa eminii,-43.286944,-20.268333
Urochloa eminii,-39.745833,-18.699167
Urochloa eminii,-43.413333,-20.223611
Urochloa eminii,-39.745833,-18.699167
Urochloa eminii,-53.46,-26.819722
Urochloa eminii,-51.717222,-17.923056
Urochloa eminii,-48.333333,-10.333333
Urochloa eminii,-53.46,-26.819722
Urochloa eminii,-48.333333,-10.666667
Urochloa eminii,-51.717222,-17.923056
Urochloa eminii,-48.333333,-10.666667
Urochloa eminii,-47.812222,-15.836667
Urochloa eminii,-43.920556,-12.077222
Urochloa eminii,-43.913889,-19.962222
Urochloa eminii,-51.947667,-23.400111
Urochloa eminii,-43.2425,-20.3075
Urochloa eminii,-48.903079,-27.086464
Urochloa eminii,-49.2375,-25.443611
Urochloa eminii,-50.58,-23.94
Urochloa eminii,-50.4,-23.94
Urochloa eminii,-49.86,-23.22
Urochloa eminii,-49.86,-23.22
Urochloa eminii,-49.68,-23.58
Urochloa eminii,-50.58,-23.94
Urochloa eminii,-50.4,-23.94
Urochloa eminii,-49.86,-23.22
Urochloa eminii,-50.58,-23.94
Urochloa eminii,-50.4,-23.94
Urochloa eminii,-49.68,-23.58
Urochloa eminii,-50.58,-23.94
Urochloa eminii,-50.4,-23.94
Urochloa eminii,-49.86,-23.22
Urochloa eminii,-52.38,-29.7
Urochloa eminii,-52.2,-29.52
Urochloa eminii,-40.590833,-19.935833
Urochloa eminii,-40.590833,-19.935833
Urochloa eminii,-48.527778,-27.626111
Urochloa eminii,-51.12,-29.88
Urochloa eminii,-50.76,-30.06
Urochloa eminii,-48.527778,-27.626111
Urochloa eminii,-47.9325,-15.734722
Urochloa eminii,-50.76,-30.06
Urochloa eminii,-51.12,-29.88
Urochloa eminii,-64.44,-9.54
Urochloa eminii,-51.84,-24.48
Urochloa eminii,-51.3,-24.66
Urochloa eminii,-52.74,-22.86
Urochloa eminii,-51.3,-24.48
Urochloa eminii,-51.3,-24.66
Urochloa eminii,-51.3,-24.48
Urochloa eminii,-51.84,-24.48
Urochloa eminii,-52.74,-22.86
Urochloa eminii,-51.84,-24.333333
