Species,decimalLongitude,decimalLatitude
Urochloa humidicola,-57.735278,-21.638611
Urochloa humidicola,-50.306111,-27.7925
Urochloa humidicola,-43.679722,-22.783056
Urochloa humidicola,-43.679722,-22.780556
Urochloa humidicola,-50.94,-16.56
Urochloa humidicola,-50.94,-16.56
Urochloa humidicola,-52.92,-21.42
Urochloa humidicola,-39.043333,-12.601944
Urochloa humidicola,-39.043333,-12.601944
Urochloa humidicola,-38.628333,-12.293333
Urochloa humidicola,-38.628333,-12.293333
Urochloa humidicola,-44.307944,-2.56125
Urochloa humidicola,-44.307944,-2.56125
Urochloa humidicola,-34.920833,-7.920833
Urochloa humidicola,-37.657778,-11.373889
Urochloa humidicola,-37.657778,-11.373889
Urochloa humidicola,-37.148333,-10.688611
Urochloa humidicola,-54.861389,-2.864444
Urochloa humidicola,-54.861389,-2.531111
Urochloa humidicola,-37.148333,-10.688611
Urochloa humidicola,-54.861389,-2.531111
Urochloa humidicola,-57.063889,-19.251389
Urochloa humidicola,-47.189006,-22.259161
Urochloa humidicola,-53.270667,-22.7611
Urochloa humidicola,-57.016667,-19.502778
Urochloa humidicola,-57.980333,-16.131139
Urochloa humidicola,-57.314222,-16.582417
Urochloa humidicola,-58.028972,-16.132333
Urochloa humidicola,-48.859722,-16.956667
Urochloa humidicola,-48.859722,-16.956667
Urochloa humidicola,-54.419722,-21.567778
Urochloa humidicola,-54.419722,-21.567833
Urochloa humidicola,-54.419722,-21.567778
Urochloa humidicola,-54.843889,-20.756389
Urochloa humidicola,-54.343611,-20.756111
Urochloa humidicola,-53.2575,-22.769167
Urochloa humidicola,-53.2575,-22.769167
Urochloa humidicola,-41.34,-11.506944
Urochloa humidicola,-41.331111,-11.497778
Urochloa humidicola,-54.398055,-20.586667
Urochloa humidicola,-39.254167,-17.215014
Urochloa humidicola,-39.233333,-17.215
Urochloa humidicola,-54.226667,-20.522222
Urochloa humidicola,-54.226667,-20.5225
Urochloa humidicola,-51.769167,-17.076944
Urochloa humidicola,-47.428333,-6.632778
Urochloa humidicola,-47.428333,-6.632778
Urochloa humidicola,-54.676944,-20.423889
Urochloa humidicola,-54.676944,-20.423889
Urochloa humidicola,-41.945,-22.526944
Urochloa humidicola,-54.777778,-2.426667
Urochloa humidicola,-37.438056,-11.268611
Urochloa humidicola,-37.438056,-11.268611
Urochloa humidicola,-56.683333,-16.45
Urochloa humidicola,-39.4,-17.8875
Urochloa humidicola,-39.4,-17.8875
Urochloa humidicola,-51.066667,0.066667
Urochloa humidicola,-51.06667,0.06667
Urochloa humidicola,-47.86667,-6.7
Urochloa humidicola,-46.08,-3.12
Urochloa humidicola,-46.08,-3.12
Urochloa humidicola,-46.08333,-3.11666
Urochloa humidicola,-61.45,3.283333
Urochloa humidicola,-61.466667,3.333333
Urochloa humidicola,-61.466667,3.333333
Urochloa humidicola,-47.887222,-15.938333
Urochloa humidicola,-47.929444,-15.779722
Urochloa humidicola,-47.9298727,-15.7834208
Urochloa humidicola,-50.170833,-8.072222
Urochloa humidicola,-63.166667,-7.516667
Urochloa humidicola,-50.941944,-30.028611
Urochloa humidicola,-60.08,-2.316667
Urochloa humidicola,-50.17,-8.05
Urochloa humidicola,-63.17,-7.516667
