Species,decimalLongitude,decimalLatitude
Urochloa mutica,-48.442642,-22.917608
Urochloa mutica,-52.410556,-9.697778
Urochloa mutica,-52.495833,-9.875833
Urochloa mutica,-45.011749,-23.194848
Urochloa mutica,-45.011749,-23.194848
Urochloa mutica,-45.011749,-23.194848
Urochloa mutica,-45.011749,-23.194848
Urochloa mutica,-45.011749,-23.194848
Urochloa mutica,-38.593889,-11.713333
Urochloa mutica,-41.007778,-19.475
Urochloa mutica,-40.666667,-19.544722
Urochloa mutica,-41.007778,-19.475
Urochloa mutica,-41.785278,-18.850556
Urochloa mutica,-54.314167,-2.478333
Urochloa mutica,-41.5125,-5.038611
Urochloa mutica,-54.314166,-2.478333
Urochloa mutica,-35.715,-6.970833
Urochloa mutica,-35.715,-6.970833
Urochloa mutica,-48.453889,-1.398333
Urochloa mutica,-48.453889,-1.398333
Urochloa mutica,-55.641667,-11.581944
Urochloa mutica,-35.35,-8.32
Urochloa mutica,-42.0975,-16.8475
Urochloa mutica,-55.482778,-11.866667
Urochloa mutica,-53.6575,-22.924167
Urochloa mutica,-46.467389,-23.4105
Urochloa mutica,-46.4675,-23.410556
Urochloa mutica,-48.506667,-27.5925
Urochloa mutica,-48.506667,-27.5925
Urochloa mutica,-36.823333,-7.888889
Urochloa mutica,-36.823333,-7.888889
Urochloa mutica,-48.511667,-27.5925
Urochloa mutica,-36.135,-7.481667
Urochloa mutica,-48.511667,-27.5925
Urochloa mutica,-34.948611,-8.0075
Urochloa mutica,-53.060278,-25.413056
Urochloa mutica,-53.060278,-25.413056
Urochloa mutica,-39.188056,-6.4275
Urochloa mutica,-40.491667,-6.43
Urochloa mutica,-39.281389,-6.502778
Urochloa mutica,-39.294167,-6.439722
Urochloa mutica,-39.299167,-6.501667
Urochloa mutica,-39.201667,-6.376667
Urochloa mutica,-39.113056,-6.254167
Urochloa mutica,-39.200611,-6.442639
Urochloa mutica,-40.491667,-6.430056
Urochloa mutica,-39.192167,-6.428028
Urochloa mutica,-39.188028,-6.427583
Urochloa mutica,-40.491667,-6.430056
Urochloa mutica,-39.281444,-6.502639
Urochloa mutica,-39.294194,-6.439611
Urochloa mutica,-39.29925,-6.501528
Urochloa mutica,-39.201667,-6.376611
Urochloa mutica,-35.928333,-8.493611
Urochloa mutica,-35.928333,-8.493611
Urochloa mutica,-35.928333,-8.493611
Urochloa mutica,-35.928333,-8.493611
Urochloa mutica,-56.813889,-11.227778
Urochloa mutica,-57.727222,-19.153611
Urochloa mutica,-48.116111,-8.396944
Urochloa mutica,-46.734722,-23.674889
Urochloa mutica,-54.704722,-22.204167
Urochloa mutica,-46.817783,-23.6933
Urochloa mutica,-35.35,-8.32
Urochloa mutica,-35.35,-8.32
Urochloa mutica,-38.243611,-6.235278
Urochloa mutica,-38.243611,-6.235278
Urochloa mutica,-38.41,-6.398056
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.152222,-6.345278
Urochloa mutica,-37.152222,-6.345278
Urochloa mutica,-37.152222,-6.344722
Urochloa mutica,-37.152222,-6.344722
Urochloa mutica,-37.255833,-6.581667
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.255833,-6.581667
Urochloa mutica,-37.670006,-7.115444
Urochloa mutica,-37.255833,-6.581667
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.152222,-6.344722
Urochloa mutica,-37.152222,-6.344722
Urochloa mutica,-37.255833,-6.61
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.255833,-6.262778
Urochloa mutica,-37.432869,-6.976233
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-37.25583,-6.57944
Urochloa mutica,-37.432778,-6.9525
Urochloa mutica,-37.255833,-6.579444
Urochloa mutica,-40.735556,-18.989167
Urochloa mutica,-40.740278000000004,-18.983056
Urochloa mutica,-48.38417,-16.17306
Urochloa mutica,-49.6599,-24.1714
Urochloa mutica,-42.533333,-19.466667
Urochloa mutica,-42.533333,-19.466667
Urochloa mutica,-48.26,-1.255556
Urochloa mutica,-48.737776,-25.808328
Urochloa mutica,-46.9192,-23.6039
Urochloa mutica,-41.773056,-3.423333
Urochloa mutica,-39.116389,-12.223333
Urochloa mutica,-36.908611,-5.576667
Urochloa mutica,-67.81,-10.015
Urochloa mutica,-49.354444,-20.776944
Urochloa mutica,-60.091667,-2.326667
Urochloa mutica,-60.091744,-2.326638
Urochloa mutica,-60.091667,-2.326667
Urochloa mutica,-60.091744,-2.326638
Urochloa mutica,-40.02,-13.02
Urochloa mutica,-40.016667,-13.016667
Urochloa mutica,-43.2656,-21.5878
Urochloa mutica,-56.75,-20.066667
Urochloa mutica,-56.75,-20.066667
Urochloa mutica,-49.007222,-28.467222
Urochloa mutica,-49.007222,-28.467222
Urochloa mutica,-57.65,-19.016667
Urochloa mutica,-40.6,-11.6
Urochloa mutica,-40.6,-11.416667
Urochloa mutica,-55.22,-1.45
Urochloa mutica,-40.294444,-9.883333
Urochloa mutica,-40.49074,-9.152778
Urochloa mutica,-51.833333,-3.833333
Urochloa mutica,-51.833333,3.833333
Urochloa mutica,-51.833333,-3.833333
Urochloa mutica,-51.833333,3.83333
Urochloa mutica,-37.344444,-5.191944
Urochloa mutica,-50.166667,-8.05
Urochloa mutica,-50.166667,-8.05
Urochloa mutica,-39.08,-12.53
Urochloa mutica,-39.083333,-12.083333
Urochloa mutica,-39.083333,-12.533333
Urochloa mutica,-39.083333,-12.533333
Urochloa mutica,-39.083333,-12.533333
Urochloa mutica,-37.169722,-10.806389
Urochloa mutica,-37.169722,-10.806389
Urochloa mutica,-39.25,-14.25
Urochloa mutica,-39.227366,-14.771874
Urochloa mutica,-39.25,-14.25
Urochloa mutica,-35.018333,-8.002222
Urochloa mutica,-56.858028,-16.746444
Urochloa mutica,-35.691389,-6.963333
Urochloa mutica,-36.341947,-10.073139
Urochloa mutica,-48.635,-26.991111
Urochloa mutica,-48.662222,-26.908333
Urochloa mutica,-48.635,-26.991111
Urochloa mutica,-48.8275,-26.900278
Urochloa mutica,-48.8275,-26.900278
Urochloa mutica,-46.621944,-23.654444
Urochloa mutica,-46.621883,-23.654505
Urochloa mutica,-51.3794,-20.8961
Urochloa mutica,-47.2958,-22.7775
Urochloa mutica,-60,-3.1
Urochloa mutica,-47.293889,-22.773056
Urochloa mutica,-43.03,-6.77
Urochloa mutica,-43.03,-6.77
Urochloa mutica,-43.033333,-6.766667
Urochloa mutica,-43.033333,-6.766667
Urochloa mutica,-46.63,-23.54
Urochloa mutica,-38.97,-8.77
Urochloa mutica,-38.975,-8.775
Urochloa mutica,-43.03,-6.77
Urochloa mutica,-38.975,-8.775
Urochloa mutica,-43.03,-6.77
Urochloa mutica,-38.97,-8.77
Urochloa mutica,-43.033333,-6.766667
Urochloa mutica,-38.966667,-8.766667
Urochloa mutica,-43.03333,-6.76666
Urochloa mutica,-38.96666,-8.76666
Urochloa mutica,-34.881111,-8.054167
Urochloa mutica,-44.4042,-19.2744
Urochloa mutica,-48.694057,-27.77489
Urochloa mutica,-49.518423,-27.0608031
Urochloa mutica,-48.477688,-27.652551
Urochloa mutica,-47.077171,-22.870251
Urochloa mutica,-47.077171,-22.870251
Urochloa mutica,-47.077171,-22.870251
Urochloa mutica,-46.6828,-22.1158
Urochloa mutica,-47.0608,-22.9056
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-46.63,-23.540278
Urochloa mutica,-46.6304064,-23.5441636
Urochloa mutica,-47.077171,-22.870251
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-39.1,-12.666667
Urochloa mutica,-67.26,-0.03
Urochloa mutica,-46.621944,-23.654444
Urochloa mutica,-46.621883,-23.654505
Urochloa mutica,-47.0608,-22.9056
Urochloa mutica,-47.0608,-22.9056
Urochloa mutica,-47.0608,-22.9056
Urochloa mutica,-46.6361,-23.5475
Urochloa mutica,-39.015278,-4.971667
Urochloa mutica,-39.015188,-4.9751508
Urochloa mutica,-46.724444,-23.565556
Urochloa mutica,-46.724373,-23.565521
Urochloa mutica,-49.705556,-24.251111
Urochloa mutica,-54.740556,-2.449722
Urochloa mutica,-54.740486,-2.449614
Urochloa mutica,-43.2075,-22.90278
Urochloa mutica,-39.2275,-14.771944
Urochloa mutica,-48.667778,-27.645556
Urochloa mutica,-49.517778,-27.056944
Urochloa mutica,-48.477778,-27.6525
Urochloa mutica,-48.662222,-26.908333
Urochloa mutica,-48.54,-20.71
Urochloa mutica,-41.99722,-12.18306
Urochloa mutica,-55,-10
Urochloa mutica,-47.640278,-22.720556
Urochloa mutica,-47.2958,-22.7775
Urochloa mutica,-59.95,-2.366667
Urochloa mutica,-65.3,-2.4
