Species,decimalLongitude,decimalLatitude
Urochloa ruziziensis,-50.22,-16.74
Urochloa ruziziensis,-50.22,-16.74
Urochloa ruziziensis,-47.9325,-15.734722
Urochloa ruziziensis,-41.15,-11.55
Urochloa ruziziensis,-41.15,-11.15
Urochloa ruziziensis,-41.15,-11.55
Urochloa ruziziensis,-41.871667,-13.545833
Urochloa ruziziensis,-46.602583,-23.767833
Urochloa ruziziensis,-47.441667,-6.580833
Urochloa ruziziensis,-47.441666,-6.580833
Urochloa ruziziensis,-54.389444,-20.504722
Urochloa ruziziensis,-54.389722,-20.504722
Urochloa ruziziensis,-47,-16.18417
Urochloa ruziziensis,-42.517222,-11.409444
Urochloa ruziziensis,-47.0047,-21.4678
Urochloa ruziziensis,-38.966667,-12.966667
Urochloa ruziziensis,-38.966667,-12.25
Urochloa ruziziensis,-38.966667,-12.25
Urochloa ruziziensis,-37.344444,-5.191944
Urochloa ruziziensis,-37.344444,-5.191944
Urochloa ruziziensis,-47.060833,-22.905556
Urochloa ruziziensis,-39.1,-12.666667
