scientific_name,decimalLongitude,decimalLatitude
Urochloa trichopus,-38.89,-12.352778
Urochloa trichopus,-37.336222,-5.195203
Urochloa trichopus,-38.491648,-7.120006
Urochloa trichopus,-38.491777,-7.119916
Urochloa trichopus,-40.834668,-9.66435
Urochloa trichopus,-41.009167,-12.455278
Urochloa trichopus,-38.966667,-12.266667
Urochloa trichopus,-37.031111,-10.575278
Urochloa trichopus,-37.053056,-10.965
Urochloa trichopus,-39.060278,-12.272778
Urochloa trichopus,-37.28,-7.024444
Urochloa trichopus,-37.28,-7.024444
Urochloa trichopus,-40.9775,-12.468889
Urochloa trichopus,-39.076138,-7.812694
Urochloa trichopus,-38.966111,-12.199167
Urochloa trichopus,-38.966111,-12.199167
Urochloa trichopus,-38.966111,-12.199167
Urochloa trichopus,-38.966111,-12.199167
Urochloa trichopus,-38.966111,-12.199166
Urochloa trichopus,-38.966111,-12.199166
Urochloa trichopus,-38.966111,-12.199166
Urochloa trichopus,-38.966111,-12.199166
Urochloa trichopus,-38.966111,-12.199167
Urochloa trichopus,-37.234444,-5.030833
Urochloa trichopus,-37.234444,-5.030833
Urochloa trichopus,-37.395833,-5.051944
Urochloa trichopus,-37.010278,-8.4325
Urochloa trichopus,-37.3275,-5.203333
Urochloa trichopus,-37.325556,-5.201667
Urochloa trichopus,-37.344444,-5.191944
Urochloa trichopus,-37.578333,-5.320833
Urochloa trichopus,-37.578889,-5.321944
Urochloa trichopus,-37.325556,-5.201389
Urochloa trichopus,-37.325556,-5.201667
Urochloa trichopus,-37.325556,-5.201389
Urochloa trichopus,-37.344444,-5.191944
Urochloa trichopus,-37.344444,-5.191944
Urochloa trichopus,-39.016667,-9.016667
Urochloa trichopus,-39.016667,-9.933333
Urochloa trichopus,-39.016667,-9.933333
Urochloa trichopus,-37.344444,-5.201667
Urochloa trichopus,-35.728611,-8.470278
Urochloa trichopus,-35.55,-8.216667
Urochloa trichopus,-38.321111,-7.983333
Urochloa trichopus,-38.321111,-7.983333
Urochloa trichopus,-37.344444,-5.191944
Urochloa trichopus,-42.801944,-5.089167
Urochloa trichopus,-42.801944,-5.089167
Urochloa trichopus,-44.993611,-12.1375
Urochloa trichopus,-37.344167,-5.1875
Urochloa trichopus,-37.344167,-5.1875
Urochloa trichopus,-39.083333,-7.810833
Urochloa trichopus,-40.318611,-9.069444
Urochloa trichopus,-37.344444,-5.191944
Urochloa trichopus,-40.318611,-9.069444
Urochloa trichopus,-42.801944,-5.089167
Urochloa trichopus,-37.0311,-10.5754
