Species,decimalLongitude,decimalLatitude
Vachellia farnesiana,-42.456402,-11.455129
Vachellia farnesiana,-42.551692,-11.564538
Vachellia farnesiana,-48.669722,-16.684444
Vachellia farnesiana,-38.501316,-7.157709
Vachellia farnesiana,-38.502077,-7.157431
Vachellia farnesiana,-45.998345,-14.831608
Vachellia farnesiana,-38.607491,-7.153371
Vachellia farnesiana,-47.868867,-15.762758
Vachellia farnesiana,-35.971469,-7.279333
Vachellia farnesiana,-48.516667,-16.094444
Vachellia farnesiana,-48.516667,-16.094444
Vachellia farnesiana,-48.516667,-16.094444
Vachellia farnesiana,-47.860587,-15.801474
Vachellia farnesiana,-41.916111,-7.2325
Vachellia farnesiana,-40.455892,-2.820761
Vachellia farnesiana,-38.454949,-6.978817
Vachellia farnesiana,-38.453353,-6.981249
Vachellia farnesiana,-38.639157,-6.853348
Vachellia farnesiana,-38.452322,-6.972609
Vachellia farnesiana,-38.577005,-6.874708
Vachellia farnesiana,-40.547016,-9.326989
Vachellia farnesiana,-38.589646,-6.909871
Vachellia farnesiana,-38.480717,-7.034755
Vachellia farnesiana,-40.901389,-4.949722
Vachellia farnesiana,-41.566667,-4.349722
Vachellia farnesiana,-40.86,-9.18
Vachellia farnesiana,-47.869799,-15.762493
Vachellia farnesiana,-38.52,-9.63
Vachellia farnesiana,-47.561814,-22.372011
Vachellia farnesiana,-38.27476,-6.46725
Vachellia farnesiana,-47.975957,-15.901041
Vachellia farnesiana,-47.916795,-15.79281
Vachellia farnesiana,-38.740862,-7.084789
Vachellia farnesiana,-38.478424,-6.651807
Vachellia farnesiana,-35.675833,-6.455278
Vachellia farnesiana,-35.975266,-8.250473
Vachellia farnesiana,-47.298629,-22.744494
Vachellia farnesiana,-47.859167,-15.765
Vachellia farnesiana,-38.491606,-7.120662
Vachellia farnesiana,-47.860858,-15.76615
Vachellia farnesiana,-39.279226,-7.277254
Vachellia farnesiana,-36.846754,-6.958081
Vachellia farnesiana,-39.813444,-7.111611
Vachellia farnesiana,-47.343532,-22.569793
Vachellia farnesiana,-57.557931,-19.166206
Vachellia farnesiana,-36.354899,-7.414768
Vachellia farnesiana,-40.613056,-12.6075
Vachellia farnesiana,-40.613056,-12.5075
Vachellia farnesiana,-38.617511,-7.158508
Vachellia farnesiana,-57.898506,-21.719089
Vachellia farnesiana,-39.115833,-12.115556
Vachellia farnesiana,-39.115833,-12.132222
Vachellia farnesiana,-41.300693,-13.419081
