Species,decimalLongitude,decimalLatitude
Xiphophorus hellerii,-43.946563,-19.999862
Xiphophorus hellerii,-44.122684,-22.952658
Xiphophorus hellerii,-43.068032,-22.547221
Xiphophorus hellerii,-43.504991,-23.035569
Xiphophorus hellerii,-41.7125,-20.4075
Xiphophorus hellerii,-41.7125,-20.4075
Xiphophorus hellerii,-41.7125,-20.4075
Xiphophorus hellerii,-50.05922,-6.066491
Xiphophorus hellerii,-50.059362,-6.064033
Xiphophorus hellerii,-54.5275,-25.459167
Xiphophorus hellerii,-53.400833,-25.079722
Xiphophorus hellerii,-56.480278,-21.13
Xiphophorus hellerii,-56.48641,-21.135399
Xiphophorus hellerii,-46.021389,-23.377778
Xiphophorus hellerii,-51.011278,-23.285556
Xiphophorus hellerii,-51.011278,-23.285556
Xiphophorus hellerii,-46.021389,-23.377778
Xiphophorus hellerii,-46.019167,-23.380833
Xiphophorus hellerii,-51.56025,-23.525583
Xiphophorus hellerii,-46.019167,-23.380833
Xiphophorus hellerii,-43.267959,-19.112249
Xiphophorus hellerii,-43.279078,-19.112353
Xiphophorus hellerii,-43.241944,-22.621111
Xiphophorus hellerii,-43.069167,-22.585833
Xiphophorus hellerii,-53.752222,-24.706944
Xiphophorus hellerii,-53.753333,-24.718611
Xiphophorus hellerii,-47.507063,-23.964614
Xiphophorus hellerii,-53.752222,-24.706944
Xiphophorus hellerii,-51.930833,-23.344167
Xiphophorus hellerii,-43.347222,-21.346111
Xiphophorus hellerii,-43.483333,-23
Xiphophorus hellerii,-43.5,-22.983333
Xiphophorus hellerii,-43.416667,-22.916667
Xiphophorus hellerii,-43.479722,-22.966111
Xiphophorus hellerii,-43.5,-22.966667
Xiphophorus hellerii,-43.493056,-22.965833
Xiphophorus hellerii,-43.494167,-22.968333
Xiphophorus hellerii,-43.479722,-22.966111
Xiphophorus hellerii,-43.705278,-20.273611
Xiphophorus hellerii,-48.548333,-17.726944
Xiphophorus hellerii,-42.116667,-21.933333
