Species,decimalLongitude,decimalLatitude
Xiphophorus maculatus,-46.629183,-23.574727
Xiphophorus maculatus,-43.695192,-22.763
Xiphophorus maculatus,-54.616944,-20.504444
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-43.435334,-22.585967
Xiphophorus maculatus,-48.684444,-22.190556
Xiphophorus maculatus,-40.721111,-20.608333
Xiphophorus maculatus,-42.333332,-21.066668
Xiphophorus maculatus,-52.538333,-17.506944
