Species,decimalLongitude,decimalLatitude
Zantedeschia aethiopica,-46.730439,-23.566311
Zantedeschia aethiopica,-50.913077,-27.011054
Zantedeschia aethiopica,-45.858208,-22.670857
Zantedeschia aethiopica,-49.184085,-25.713898
Zantedeschia aethiopica,-49.176055,-25.358567
Zantedeschia aethiopica,-48.937917,-27.866303
Zantedeschia aethiopica,-46.619372,-23.639253
Zantedeschia aethiopica,-49.132063,-25.252605
Zantedeschia aethiopica,-49.372448,-26.558907
Zantedeschia aethiopica,-49.251945,-25.377488
Zantedeschia aethiopica,-45.558408,-22.732116
Zantedeschia aethiopica,-43.297066,-20.684047
Zantedeschia aethiopica,-52.194509,-32.140604
Zantedeschia aethiopica,-49.372528,-26.558707
Zantedeschia aethiopica,-49.34113,-25.400315
Zantedeschia aethiopica,-43.011923,-22.261722
Zantedeschia aethiopica,-46.730819,-23.566047
Zantedeschia aethiopica,-49.372061,-26.558491
Zantedeschia aethiopica,-49.348505,-25.443955
Zantedeschia aethiopica,-46.586569,-23.404867
Zantedeschia aethiopica,-49.573135,-27.948225
Zantedeschia aethiopica,-49.310428,-25.502463
Zantedeschia aethiopica,-45.82798,-22.716908
Zantedeschia aethiopica,-42.83737,-22.375623
Zantedeschia aethiopica,-35.589815,-8.202161
Zantedeschia aethiopica,-43.31375,-22.483437
Zantedeschia aethiopica,-40.506934,-14.748797
Zantedeschia aethiopica,-41.812149,-13.577292
Zantedeschia aethiopica,-49.203572,-25.531835
Zantedeschia aethiopica,-43.20653,-22.411767
Zantedeschia aethiopica,-41.12071,-20.214002
Zantedeschia aethiopica,-49.325833,-26.288333
Zantedeschia aethiopica,-49.164933,-25.614053
Zantedeschia aethiopica,-49.325833,-26.288333
Zantedeschia aethiopica,-49.325833,-26.288333
Zantedeschia aethiopica,-44.870909,-23.152345
Zantedeschia aethiopica,-46.729482,-23.563342
Zantedeschia aethiopica,-46.73097,-23.565772
Zantedeschia aethiopica,-50.876435,-29.374569
Zantedeschia aethiopica,-47.07029,-23.763913
Zantedeschia aethiopica,-44.678926,-22.384887
Zantedeschia aethiopica,-51.236389,-29.185
Zantedeschia aethiopica,-44.948333,-23.156389
Zantedeschia aethiopica,-48.422334,-24.2703
Zantedeschia aethiopica,-46.632222,-23.437342
Zantedeschia aethiopica,-43.293611,-20.230278
Zantedeschia aethiopica,-49.409444,-26.315833
Zantedeschia aethiopica,-49.409444,-26.315833
Zantedeschia aethiopica,-44.815278,-23.141111
Zantedeschia aethiopica,-42.573615,-22.359655
Zantedeschia aethiopica,-42.512168,-22.401113
Zantedeschia aethiopica,-44.530179,-22.330136
Zantedeschia aethiopica,-49.117917,-25.38425
Zantedeschia aethiopica,-49.119611,-25.382583
Zantedeschia aethiopica,-49.118806,-25.383639
Zantedeschia aethiopica,-41.3,-13.583333
Zantedeschia aethiopica,-41.3,-13.583333
Zantedeschia aethiopica,-45.557694,-22.754639
Zantedeschia aethiopica,-41.3,-13.583333
Zantedeschia aethiopica,-49.207806,-25.427667
Zantedeschia aethiopica,-49.118083,-25.383917
Zantedeschia aethiopica,-49.118083,-25.383917
Zantedeschia aethiopica,-47.533333,-22.383333
Zantedeschia aethiopica,-43.832538,-22.634219
Zantedeschia aethiopica,-43.150556,-22.538889
Zantedeschia aethiopica,-40.603611,-19.948611
Zantedeschia aethiopica,-49,-25.5
Zantedeschia aethiopica,-49,-25.5
Zantedeschia aethiopica,-49,-25.5
Zantedeschia aethiopica,-49,-25.5
