Species,decimalLongitude,decimalLatitude
Zaprionus indianus,-47.932729,-21.9401
Zaprionus indianus,-41.686956,-20.781919
Zaprionus indianus,-46.69063,-23.610797
Zaprionus indianus,-47.809443,-15.799348
Zaprionus indianus,-46.120492,-21.327075
Zaprionus indianus,-38.488433,-3.813022
Zaprionus indianus,-43.210503,-22.959845
Zaprionus indianus,-35.776048,-9.558227
Zaprionus indianus,-38.470474,-3.83105
Zaprionus indianus,-49.092422,-25.521687
Zaprionus indianus,-49.278921,-26.794102
Zaprionus indianus,-52.186859,-32.170137
Zaprionus indianus,-51.059268,-23.261031
Zaprionus indianus,-54.64466,-20.520362
Zaprionus indianus,-48.280549,-18.869588
Zaprionus indianus,-46.692208,-23.608517
Zaprionus indianus,-47.746951,-22.614167
Zaprionus indianus,-40.781131,-18.871802
Zaprionus indianus,-47.867542,-15.763688
Zaprionus indianus,-40.599563,-19.935845
Zaprionus indianus,-46.704451,-23.638266
Zaprionus indianus,-54.559067,-25.546481
Zaprionus indianus,-36.224321,-7.063086
Zaprionus indianus,-47.861933,-15.796653
Zaprionus indianus,-47.861958,-15.79671
Zaprionus indianus,-46.689178,-21.744814
Zaprionus indianus,-48.179264,-21.779084
Zaprionus indianus,-46.670796,-23.507206
Zaprionus indianus,-46.692305,-23.60857
Zaprionus indianus,-50.262032,-29.892234
Zaprionus indianus,-48.639436,-28.029081
Zaprionus indianus,-50.257033,-29.903215
Zaprionus indianus,-56.06626,-9.876639
Zaprionus indianus,-47.797117,-15.775906
Zaprionus indianus,-47.961556,-16.130501
Zaprionus indianus,-67.86963,-9.956193
Zaprionus indianus,-43.867074,-16.728932
Zaprionus indianus,-47.878576,-15.83426
Zaprionus indianus,-53.593699,-28.650535
Zaprionus indianus,-47.809326,-15.799318
Zaprionus indianus,-46.692228,-23.608592
Zaprionus indianus,-47.85252,-15.67103
Zaprionus indianus,-46.693322,-23.61193
Zaprionus indianus,-47.858889,-15.729444
Zaprionus indianus,-51.060209,0.050192
Zaprionus indianus,-48.13912,-15.783864
Zaprionus indianus,-46.651741,-23.612761
Zaprionus indianus,-50.262032,-29.892234
Zaprionus indianus,-51.926357,-29.597257
Zaprionus indianus,-46.806814,-18.178866
Zaprionus indianus,-67.86382,-9.954971
Zaprionus indianus,-43.685084,-22.769235
