"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","APA CABREUVA","Species richness",43,98.0122699386503,30.687322931183,43,158.158317665719
"2","APA CABREUVA","Shannon diversity",9.69590831687927,10.6447640605922,0.780836857217846,9.11435194264379,12.1751761785406
"3","APA CABREUVA","Simpson diversity",5.63260546957812,5.68658850443237,0.319284519532295,5.0608023453279,6.31237466353685
"4","APA CAJATI","Species richness",4,4,0.69247121679031,4,5.35721864523964
"5","APA CAJATI","Shannon diversity",3.43887592340219,3.83352424607379,0.54747622985972,2.76049055315697,4.90655793899061
"6","APA CAJATI","Simpson diversity",3.16901408450704,3.75,0.654659367421677,2.46689121771174,5.03310878228826
"7","APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPÁ","Species richness",13,23.2028985507246,13.9773774607281,13,50.5980549720736
"8","APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPÁ","Shannon diversity",10.4224323871341,17.8882517248358,5.69919994396693,6.71802509396793,29.0584783557037
"9","APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPÁ","Simpson diversity",8.13846153846154,12.0476190476191,4.19267699523653,3.83012313814584,20.2651149570923
"10","APA CORUMBATAÍ, BOTUCATU E TEJUPÁ PERIMETRO CORUMBATAÍ","Species richness",105,134.149201596806,13.8828949704344,106.939227453603,161.35917574001
"11","APA CORUMBATAÍ, BOTUCATU E TEJUPÁ PERIMETRO CORUMBATAÍ","Shannon diversity",14.458877228661,15.1186245657447,0.828796688371833,13.4942129060298,16.7430362254596
"12","APA CORUMBATAÍ, BOTUCATU E TEJUPÁ PERIMETRO CORUMBATAÍ","Simpson diversity",5.40694067468009,5.42125532452883,0.255038046147307,4.92138993939265,5.92112070966502
"13","APA JUNDIAÍ","Species richness",108,181.493700539954,21.596876513331,139.164600395266,223.822800684641
"14","APA JUNDIAÍ","Shannon diversity",11.104640363566,11.6404787111768,0.470185711685494,10.7189316502279,12.5620257721257
"15","APA JUNDIAÍ","Simpson diversity",5.99888922062907,6.01349602356907,0.182783032539533,5.65524786280657,6.37174418433157
"16","APA PIRACICABA JUQUERÍ-MIRIM AREA II","Species richness",174,236.212328000895,18.9598196960324,199.051764243298,273.372891758492
"17","APA PIRACICABA JUQUERÍ-MIRIM AREA II","Shannon diversity",10.0486088215613,10.401099531412,0.294462656984225,9.82396332893093,10.978235733893
